카테고리,번호,상품명,가격,X,Y
건강식품,1,[종근당]아임비타 멀티비타민 이뮨플러스7병,"11,900",24,57
건강식품,2,[컨디션환 3g*3입] 컨디션환 3g*3입,"7,480",24,57
건강식품,3,[피코크] 아카시아 벌꿀 500g,"13,800",24,57
건강식품,4,[Biopublic]식물성 알티지 오메가3 (60캡슐),"9,900",24,57
건강식품,5,[알유21] 비타민C 6정,"2,990",24,57
건강식품,6,[종근당건강]아임비타 멀티비타민 데일리 850mg x 60정,"10,900",24,57
건강식품,7,[종근당건강]락토핏 골드 2g*50포,"15,900",24,57
건강식품,8,[CJ제일제당] CJ백설매실청310ml,"4,980",24,57
건강식품,9,[건강기능식품] 고려은단 비타민C 1000 300정,"27,800",24,57
건강식품,10,[휴럼] 석류콜라겐 젤리 스틱 20g*28포,"14,900",24,57
건강식품,11,[녹차원] 허니스틱 아카시아꿀(스틱형),"10,800",24,57
건강식품,12,[동서식품] 벌꿀 아카시아꿀 900g,"28,400",24,57
건강식품,13,[셀렉스] 프로틴바 베리오트 50g x 6개입,"8,400",24,57
건강식품,14,[빙그레] 빙)더단백 드링크 초코 250ml,"2,300",24,57
건강식품,15,[피코크] 아카시아벌꿀 1kg,"25,800",24,57
건강식품,16,[종근당건강]아임비타 칼슘마그네슘비타민D 900mg x 120정,"13,900",24,57
건강식품,17,[큐원] 상쾌환 스틱형 레드(18g*3개입),"10,800",24,57
건강식품,18,[Biopublic]콜레스테롤 케어,"4,900",24,57
건강식품,19,[Biopublic]코큐텐 혈압케어 30캡슐,"6,860",24,57
건강식품,20,[고려은단] 비타민C1000 이지+비타민D 120정,"13,800",24,57
건강식품,21,[고려은단] 멀티비타민 올인원 30정,"15,800",24,57
건강식품,22,[Biopublic]루테인 30캡슐,"4,900",24,57
건강식품,23,[CJ 바이오코어]피부면역 유산균 100억 60g(2g*30포),"25,900",24,57
건강식품,24,[종근당건강]프로메가 오메가3 트리플 654mg*60캡슐,"14,900",24,57
건강식품,25,[안국건강] 눈건강(루테인지아잔틴)60캡슐,"17,800",24,57
건강식품,26,[녹차원] 허니스틱 야생화꿀(스틱형),"10,800",24,57
건강식품,27,[셀렉스] 코어프로틴 너츠바(50g*6입),"8,400",24,57
건강식품,28,[종근당건강]아임비타 비타민D 2000IU 600mg x 60정,"10,900",24,57
건강식품,29,[함소아] 삐뽀삐뽀 도라지 담은 배 100ml*2개입,"3,180",24,57
건강식품,30,[빙그레] 빙)더단백 드링크 커피 250ml,"2,380",24,57
건강식품,31,[건강기능식품] 종근당건강(주) 락토핏 골드 기획세트 2g*50포*4입,"63,600",24,57
건강식품,32,[고려은단] 알티지 오메가3,"14,900",24,57
건강식품,33,[셀렉스]프로틴 음료 로우슈거 125ml * 12입,"13,860",24,57
건강식품,34,[종근당건강]아이클리어 루테인지아잔틴 오메가3 600mg*60캡슐,"20,800",24,57
건강식품,35,[Biopublic]비상대책환 4.5g*3포(숙취해소제),"3,980",24,57
건강식품,36,[Biopublic]유산균 50포,"9,800",24,57
건강식품,37,[건강기능식품] 종근당건강 락토핏 코어 2g*60포,"19,900",24,57
건강식품,38,[그린푸드] 사양벌꿀 600gx2병,"17,800",24,57
건강식품,39,[그린푸드] 사양벌꿀 2.4kg,"25,800",24,57
건강식품,40,[고려은단]메가도스C 비타민C 3000mg,"11,900",24,57
건강식품,41,[Biopublic]장용성알티지오메가3 50캡슐,"9,800",24,57
건강식품,42,[센트룸]우먼 멀티 비타민 미네랄 50정,"27,000",24,57
건강식품,43,[CJ제일제당] CJ백설오미자청310ml,"4,980",24,57
건강식품,44,[빙그레] 빙)더단백 드링크 카라멜 250ml,"2,380",24,57
건강식품,45,[종근당건강]아임비타 비타민 C&D 3g x 45구미,"14,900",24,57
