카테고리,번호,상품명,가격,X,Y
과일,1,[엔비사과 4~6입/봉 (1.3kg내외)] 엔비사과 4~6입/봉 (1.3kg내외),"16,900",24,40
과일,2,[달짝이 토마토 750g/팩] 달짝이 토마토 750g/팩,"10,980",24,40
과일,3,[자연주의] 저탄소인증 하우스 감귤 1kg/팩,"9,480",24,40
과일,4,[첫 수확 조생 햇 귤 3kg/박스] 첫 수확 조생 햇 귤 3kg/박스,"12,900",24,40
과일,5,[자연주의] 저탄소인증 시나노골드사과 4~7입/봉 (1.3kg),"14,500",24,40
과일,6,[dole] [필리핀산] Dole 스위티오 바나나 1.3kg내외,"5,980",24,40
과일,7,[미동농산] 건망고 슬라이스 250g,"8,380",24,40
과일,8,[홍시 4~6입/팩 (750g내외)] 홍시 4~6입/팩 (750g내외),"8,900",24,40
과일,9,[멕시코산] 라임 4~6입/팩 (530g내외),"9,980",24,40
과일,10,[더리미티드] 신고배 3kg/박스,"9,980",24,40
과일,11,[더달콤 스테비아 대추방울토마토 550g/팩] 더달콤 스테비아 대추방울토마토 550g/팩,"6,980",24,40
과일,12,[단감 8~12입/봉 (1.8kg)] 단감 8~12입/봉 (1.8kg),"9,980",24,40
과일,13,[신세계푸드] 바나밸리 바나나 1.2kg내외,"3,980",24,40
과일,14,[대추방울토마토 750g/팩] 대추방울토마토 750g/팩,"10,980",24,40
과일,15,[신세계푸드] 하루과일 바나나/팩 (420g내외),"1,980",24,40
과일,16,[파머스픽] 애플토마토 600g/팩,"6,980",24,40
과일,17,[파머스픽] 새콤아삭 컬러마토 750g/팩,"5,980",24,40
과일,18,[파머스픽] 샤인머스캣 1.5kg/박스,"15,900",24,40
과일,19,[제스프리] 제스프리 그린키위/팩 (1kg내외),"10,980",24,40
과일,20,[머스크 메론 1통 (1.5kg이상)] 머스크 메론 1통 (1.5kg이상),"15,980",24,40
과일,21,[스미후루] 고당도 감숙왕 바나나 1.2kg내외,"5,980",24,40
과일,22,[토마주르토마토 750g/팩] 토마주르토마토 750g/팩,"6,980",24,40
과일,23,[신세계푸드] 필리핀산 과즙팡팡 컷파인애플 1kg,"11,900",24,40
과일,24,[완숙토마토 5~8입/팩 (1.1kg)] 완숙토마토 5~8입/팩 (1.1kg),"8,800",24,40
과일,25,[자연주의] 친환경 토마토 900g/팩,"7,680",24,40
과일,26,[바나나칩 500g] 바나나칩 500g,"8,380",24,40
과일,27,[칠레산] 생블루베리 310g/팩,"7,980",24,40
과일,28,[dole] [페루산] Dole 유기농 바나나 1묶음 (1.1kg 내외),"5,980",24,40
과일,29,[GAP 영암 무화과 1kg] GAP 영암 무화과 1kg,"11,900",24,40
과일,30,[무지개 방울토마토 600g/팩] 무지개 방울토마토 600g/팩,"7,980",24,40
과일,31,[저탄소인증 햇사과 4~6입/봉 (1kg내외)] 저탄소인증 햇사과 4~6입/봉 (1kg내외),"7,920",24,40
과일,32,[미국산] 냉동 블루베리 1.5kg/봉,"17,400",24,40
과일,33,[웰팜] [냉동] 유기농 블루베리 700g,"11,980",24,40
과일,34,[자연주의] 저탄소인증 샤인머스캣 500g/팩,"7,200",24,40
과일,35,[맑은청 강원 깜빠리 토마토 700g/팩] 맑은청 강원 깜빠리 토마토 700g/팩,"7,980",24,40
과일,36,[동우농산] 건블루베리 350g,"14,500",24,40
과일,37,[뉴질랜드산] 아보카도 4~5입/팩 (900g내외),"10,800",24,40
과일,38,[당도선별] 서귀포감귤 3kg (박스),"13,800",24,40
과일,39,[국산의 힘] 감홍사과 4~7입/봉 (1.3kg내외),"22,900",24,40
과일,40,[찰토마토 1.2kg/팩] 찰토마토 1.2kg/팩,"10,800",24,40
과일,41,[대봉시 4입/팩 (1kg내외)] 대봉시 4입/팩 (1kg내외),"8,980",24,40
과일,42,[신세계푸드] [호주산] 네이블 오렌지 8~10입/봉 (2kg내외),"12,800",24,40
과일,43,[유명산지] 신고배 3kg (4~7입),"9,980",24,40
과일,44,[가을 향기 단감 8~10입 1.5kg (봉)] 가을 향기 단감 8~10입 1.5kg (봉),"15,560",24,40
과일,45,[제주 레드키위 6~11입/팩 (800g내외)] 제주 레드키위 6~11입/팩 (800g내외),"12,800",24,40
과일,46,[페루산] 달콤한 냉동 애플망고 1.2kg,"8,990",24,40
과일,47,[SSG푸드마켓] SSG 중문 타이벡감귤 3kg/박스,"14,500",24,40
과일,48,[치키타] 과테말라 바나나 (1.2kg/봉),"4,280",24,40
과일,49,[I`mPerfect 당도선별 못난이사과 2.5kg (봉)] I`mPerfect 당도선별 못난이사과 2.5kg (봉),"20,900",24,40
과일,50,[Dole] 필리핀 바나나 (1.2kg/봉),"4,580",24,40
과일,51,[더달콤 스테비아 대추방울 토마토 550g (팩)] 더달콤 스테비아 대추방울 토마토 550g (팩),"7,900",24,40
과일,52,[국산의 힘] 해발 300 샤인머스캣 1.5kg/팩,"17,900",24,40
과일,53,[샤인머스캣 1송이 (특/750g내외)] 샤인머스캣 1송이 (특/750g내외),"6,900",24,40
과일,54,[당도선별] 유명산지 청송사과 1.5kg (봉),"16,900",24,40
과일,55,[자연주의] 친환경 방울토마토 600g/팩,"8,380",24,40
과일,56,[웰팜] [국내산] 냉동 딸기 1kg,"11,900",24,40
과일,57,[제주 중문 노지감귤 2.5kg] 제주 중문 노지감귤 2.5kg,"9,980",24,40
과일,58,[달달 과즙 황금향 1.2kg/봉] 달달 과즙 황금향 1.2kg/봉,"10,900",24,40
과일,59,[기획] 서귀포 실속 감귤 3.8kg (박스),"14,900",24,40
과일,60,[맛있게 후숙시킨 홍시 5~7입 750g 내외 (팩)] 맛있게 후숙시킨 홍시 5~7입 750g 내외 (팩),"11,900",24,40
과일,61,[단감 1개 (210g내외)] 단감 1개 (210g내외),"1,250",24,40
과일,62,[제스프리] 뉴질랜드 점보 그린키위 1kg (7~9입/팩),"9,800",24,40
과일,63,[완숙토마토 1.2kg(팩)] 완숙토마토 1.2kg(팩),"7,500",24,40
과일,64,[유명산지 샤인머스켓 2kg (박스)] 유명산지 샤인머스켓 2kg (박스),"19,680",24,40
과일,65,[한입에 SSoG 조각멜론 550g/팩] 한입에 SSoG 조각멜론 550g/팩,"15,900",24,40
과일,66,[당도선별] 하우스감귤 1kg (팩),"8,900",24,40
과일,67,[필리핀산] Dole 컷파인애플 540g,"8,980",24,40
과일,68,[자연주의] 저탄소인증 배 3~4입/봉 (2kg내외),"12,320",24,40
과일,69,[파머스픽] 당도선별 수박 4~5kg미만,"13,900",24,40
과일,70,[태국산] 망고 2입/팩 (700g내외),"14,980",24,40
과일,71,[까망 애플수박 1.5kg미만] 까망 애플수박 1.5kg미만,"4,480",24,40
과일,72,[친환경 대추방울토마토 600g/팩] 친환경 대추방울토마토 600g/팩,"8,580",24,40
과일,73,[찰토마토 1kg (팩)] 찰토마토 1kg (팩),"9,980",24,40
과일,74,[고당도 샤인머스켓 1.5kg(박스)] 고당도 샤인머스켓 1.5kg(박스),"19,800",24,40
과일,75,[국내산] 건대추 (200g),"6,280",24,40
과일,76,[파머스픽] 당도선별 수박 5~6kg미만,"13,900",24,40
과일,77,[SSG푸드마켓] SSG 톡톡 대추방울토마토 500g/팩,"6,980",24,40
과일,78,[까망 애플수박 3kg미만(1.5kg~3kg)] 까망 애플수박 3kg미만(1.5kg~3kg),"9,900",24,40
과일,79,[페루산] 요리하기 좋은 반쪽 아보카도 1kg (500gx2개입),"10,400",24,40
과일,80,[대추방울토마토 750g (팩)] 대추방울토마토 750g (팩),"8,900",24,40
