카테고리,번호,상품명,가격,X,Y
"과자,간식",1,[롯데웰푸드] 롯데 아몬드빼빼로132G,"4,380",0,0
"과자,간식",2,[롯데웰푸드] 롯데 빼빼로초코필드53g,"1,360",0,0
"과자,간식",3,[롯데웰푸드] 롯데 오리지널 빼빼로 184g,"4,380",0,0
"과자,간식",4,[롯데웰푸드] 롯데 빼빼로아몬드37g,"1,360",0,0
"과자,간식",5,[롯데웰푸드] 롯데 빼빼로오리지날54g,"1,360",0,0
"과자,간식",6,[농심] 새우깡90g,"1,100",0,0
"과자,간식",7,[오리온] 초코송이 36g*2번들,"1,120",0,0
"과자,간식",8,[롯데웰푸드] 롯데 크런키빼빼로140G,"4,380",0,0
"과자,간식",9,[농심] 자갈치90g,"1,360",0,0
"과자,간식",10,[피코크] 초콜릿 샌드위치 비스킷 135g,"2,980",0,0
"과자,간식",11,[해태제과] 해태 홈런볼초코5번들 205g,"4,680",0,0
"과자,간식",12,[오리온] 촉촉한초코칩 12P+4P 320G,"3,840",0,0
"과자,간식",13,[오리온] 포카칩 오리지널 66g,"1,360",0,0
"과자,간식",14,[신상 해태 프리츠 토마토 33g] 신상 해태 프리츠 토마토 33g,980,0,0
"과자,간식",15,[농심] 꿀꽈배기 90g,"1,360",0,0
"과자,간식",16,[롯데웰푸드] 롯데 크런키빼빼로39G,"1,360",0,0
"과자,간식",17,[포스트] 오레오오즈 컵 30g,"1,600",0,0
"과자,간식",18,[롯데웰푸드] 롯데 꼬깔콘 고소한맛 67g (기존재고 or 셔누 이미지 랜덤발송),"1,360",0,0
"과자,간식",19,[오리온] 예감 오리지널 192g,"3,580",0,0
"과자,간식",20,[신상 해태 프리츠 발효버터 34g] 신상 해태 프리츠 발효버터 34g,980,0,0
"과자,간식",21,[해태제과] 해태 오예스미니192g,"2,880",0,0
"과자,간식",22,[켈로그] 통귀리 그래놀라 500g,"9,680",0,0
"과자,간식",23,[롯데웰푸드] 롯데 ABC초콜릿 밀크 187g [이미지 랜덤 발송],"3,980",0,0
"과자,간식",24,[해태] 에이스 364g,"3,980",0,0
"과자,간식",25,[오리온] 왕고래밥 56g,980,0,0
"과자,간식",26,[크라운] 참쌀선과 253g,"4,320",0,0
"과자,간식",27,[롯데웰푸드] 롯데 마가렛트오리지널352g,"5,280",0,0
"과자,간식",28,[노브랜드] 초코파이 420g,"2,580",0,0
"과자,간식",29,[농심] 양파링 80g,"1,360",0,0
"과자,간식",30,[청춘 현미 누룽지 500g] 청춘 현미 누룽지 500g,"6,480",0,0
"과자,간식",31,[트윅스] 미니스 500g,"8,730",0,0
"과자,간식",32,[롯데웰푸드] 롯데 카스타드오리지날 230G,"4,780",0,0
"과자,간식",33,[해태] 포키 극세 44g,"1,360",0,0
"과자,간식",34,[오리온] 포카칩 어니언맛 66g,"1,360",0,0
"과자,간식",35,[오리온] 예감 치즈그라탕 204g,"3,580",0,0
"과자,간식",36,[농심] 오징어집 78g,"1,360",0,0
"과자,간식",37,[롯데웰푸드] 롯데 몽쉘 오리지널 12입 408G,"4,980",0,0
"과자,간식",38,[크라운] 쵸코하임 18개입 284g,"4,780",0,0
"과자,간식",39,[노브랜드] 카스타드,"3,480",0,0
"과자,간식",40,[청춘 찹쌀누룽지 300g] 청춘 찹쌀누룽지 300g,"4,480",0,0
"과자,간식",41,[노브랜드] 군밤 100g*4입,"6,980",0,0
"과자,간식",42,[크라운] 버터와플 12개입 316g,"4,380",0,0
"과자,간식",43,[오리온] 비쵸비 125g,"2,380",0,0
"과자,간식",44,[켈로그] 첵스 초코 570g,"5,980",0,0
"과자,간식",45,[크라운] 참쌀설병 270g,"4,320",0,0
"과자,간식",46,[오리온] 초코파이 정 새로운시작 12팩 468g (39g*12팩),"4,320",0,0
"과자,간식",47,[롯데] 빈츠 204g,"4,480",0,0
"과자,간식",48,[농심] 새우깡 400g,"4,250",0,0
"과자,간식",49,[피코크] 무설탕 다크70% 초코볼 60g,"1,980",0,0
"과자,간식",50,[롯데 어쏘트빼빼로 8갑 332g [이미지 랜덤 발송]] 롯데 어쏘트빼빼로 8갑 332g [이미지 랜덤 발송],"10,880",0,0
"과자,간식",51,[엠앤엠즈] (Q)엠 앤 엠즈 밀크 펀사이즈 500g,"9,980",0,0
"과자,간식",52,[포스트] 오곡코코볼 컵 30g,"1,600",0,0
"과자,간식",53,[롯데 케이크빼빼로 10갑 408g [이미지 랜덤 발송]] 롯데 케이크빼빼로 10갑 408g [이미지 랜덤 발송],"13,600",0,0
"과자,간식",54,[오리온] 고소미 216g,"2,880",0,0
"과자,간식",55,[해태제과] 해태 구운감자 135g(5입),"3,980",0,0
"과자,간식",56,[롯데웰푸드] 롯데 꼬깔콘군옥수수맛 134G,"2,720",0,0
"과자,간식",57,[롯데웰푸드] 롯데 몽쉘 카카오 12입 408G,"4,980",0,0
"과자,간식",58,[롯데웰푸드] 롯데 치토스 매콤달콤한맛 82g,"1,360",0,0
"과자,간식",59,[롯데웰푸드] ◆롯데 허쉬 키세스 아몬드 146g,"5,180",0,0
"과자,간식",60,[롯데웰푸드] 롯데 꼬깔콘4번들160G,"3,380",0,0
"과자,간식",61,[켈로그] 브랜 그래놀라 450g,"9,800",0,0
"과자,간식",62,[켈로그] 콘푸로스트 600g,"6,980",0,0
"과자,간식",63,[해태제과] [해태] 맛동산(38g*8회) 304g,"4,640",0,0
"과자,간식",64,[해태 포키극세8입 352g] 해태 포키극세8입 352g,"9,240",0,0
"과자,간식",65,[크라운] 콘칩 군옥수수맛 148G,"2,380",0,0
"과자,간식",66,[크라운] 쿠크다스케이크 154g,"2,980",0,0
"과자,간식",67,[크라운] 화이트하임 18개입 284g,"4,780",0,0
"과자,간식",68,[크라운] 쿠크다스 화이트 토르테 289g,"4,380",0,0
"과자,간식",69,[농심] 포테토칩 오리지날 125g,"2,530",0,0
"과자,간식",70,[농심] 조청유과 96g,"1,360",0,0
"과자,간식",71,[농심] 인디안밥 83g,"1,360",0,0
"과자,간식",72,[해태제과] [해태] 포키 딸기41g,"1,360",0,0
"과자,간식",73,[포스트] 콘푸라이트 컵 30g,"1,600",0,0
"과자,간식",74,[롯데웰푸드] 롯데 꼬깔콘고소한맛 134G,"2,720",0,0
"과자,간식",75,[오리온] 후레쉬 베리 12입 336g,"5,760",0,0
"과자,간식",76,[델리스 오트 밀키 초콜릿바 미니 600g] 델리스 오트 밀키 초콜릿바 미니 600g,"10,800",0,0
"과자,간식",77,[해태제과] 해태 허니버터감자칩4번들 160g,"3,980",0,0
"과자,간식",78,[오리온] 참붕어빵 8입 232g,"4,320",0,0
"과자,간식",79,[농심] 닭다리 후라이드치킨맛 66g,"1,360",0,0
"과자,간식",80,[매일유업] 킨더 해피히포 T5 104g,"3,140",0,0
