카테고리,번호,상품명,가격,X,Y
"김치,반찬,델리",1,[종가집] 종가 시원하고 아삭한 석박지 900g,"13,900",0,0
"김치,반찬,델리",2,[비비고] CJ 비비고 썰은 배추김치 500G,"9,980",0,0
"김치,반찬,델리",3,[종가집] 묵은지 900g,"13,900",0,0
"김치,반찬,델리",4,[노브랜드] 별미총각김치 1.5kg,"12,980",0,0
"김치,반찬,델리",5,[노브랜드] 맛있는 김밥용햄 150g,"1,680",0,0
"김치,반찬,델리",6,[노브랜드] 별미맛김치1.9kg,"10,980",0,0
"김치,반찬,델리",7,[사조대림] 김밥의고수 620g,"9,980",0,0
"김치,반찬,델리",8,[노브랜드] 정성담은 메추리알 장조림400g,"3,680",0,0
"김치,반찬,델리",9,[피코크] 조선호텔특제육수 포기김치 1kg,"9,980",0,0
"김치,반찬,델리",10,[종가집] 썰어담은 맛김치 900g,"13,900",0,0
"김치,반찬,델리",11,[비비고] CJ 비비고 묵은지 900g,"14,900",0,0
"김치,반찬,델리",12,[비비고] CJ 비비고 썰은 배추김치 더풍부 500g,"9,980",0,0
"김치,반찬,델리",13,[종가집] 썰어담은맛김치(PET) 1.2kg,"13,900",0,0
"김치,반찬,델리",14,[피코크] 속이 꽉찬 명란 젓 120g,"6,980",0,0
"김치,반찬,델리",15,[종가집] 포기김치 900g,"13,900",0,0
"김치,반찬,델리",16,[노브랜드] 우엉절임 150g,"2,880",0,0
"김치,반찬,델리",17,[종가집] 오래오래맛있는총각김치 900g,"13,900",0,0
"김치,반찬,델리",18,[노브랜드] 별미 볶음김치 400g,"3,280",0,0
"김치,반찬,델리",19,[종가집] 국산 무말랭이 150g,"3,880",0,0
"김치,반찬,델리",20,[피코크] 조선호텔특제육수 포기김치 4kg,"35,800",0,0
"김치,반찬,델리",21,[피코크] 에그 포테이토 샐러드 500g,"7,680",0,0
"김치,반찬,델리",22,[종가집] 파김치 300g,"8,280",0,0
"김치,반찬,델리",23,[종가집] 시원깔끔포기김치 3.3kg,"33,800",0,0
"김치,반찬,델리",24,[피코크] 에그 포테이토 샐러드 110g,"2,180",0,0
"김치,반찬,델리",25,[노브랜드] 정성담은 양념깻잎 200g,"4,280",0,0
"김치,반찬,델리",26,[풀무원] 오이지500g,"5,680",0,0
"김치,반찬,델리",27,[한성젓갈] 토굴숙성 광천 새우젓 250g,"8,980",0,0
"김치,반찬,델리",28,[종가집] 보쌈무말랭이 180g,"4,580",0,0
"김치,반찬,델리",29,[종가집] 오래오래맛있는총각김치 1.5kg,"14,900",0,0
"김치,반찬,델리",30,[종가] 담백하고 시원한 백김치 900g,"13,900",0,0
"김치,반찬,델리",31,[비비고] CJ 비비고 김치볶음 80g*5,"7,880",0,0
"김치,반찬,델리",32,[피코크] 크랜베리 단호박 샐러드 110g,"2,180",0,0
"김치,반찬,델리",33,[비비고] CJ 비비고 소고기 장조림 125g,"3,680",0,0
"김치,반찬,델리",34,[비비고] CJ 비비고 썰은 배추김치 900g,"9,900",0,0
"김치,반찬,델리",35,[피코크] 조선호텔특제육수 포기김치 2.5kg,"24,800",0,0
"김치,반찬,델리",36,[피코크] 크랜 베리 단호박 샐러드 500g,"7,680",0,0
"김치,반찬,델리",37,[피코크] 크래미아 샐러드 200g,"4,480",0,0
"김치,반찬,델리",38,[종가집] 파김치 900g,"22,900",0,0
"김치,반찬,델리",39,[피코크] 조선호텔특제육수 총각김치 1kg,"13,800",0,0
"김치,반찬,델리",40,[비비고] CJ 비비고 메추리알장조림 170g,"3,680",0,0
"김치,반찬,델리",41,[비비고] CJ 비비고 썰은배추김치 800g,"14,900",0,0
"김치,반찬,델리",42,[풀무원] 톡톡 썰은김치 1kg,"15,800",0,0
"김치,반찬,델리",43,[피코크] 후레쉬 콘 샐러드 110g,"2,180",0,0
"김치,반찬,델리",44,[한성젓갈] 한성 오징어젓갈 150g,"6,980",0,0
"김치,반찬,델리",45,[비비고] CJ 비비고 총각김치 900g,"9,900",0,0
"김치,반찬,델리",46,[CJ 비비고 파김치 300g] CJ 비비고 파김치 300g,"8,980",0,0
"김치,반찬,델리",47,[피코크] 조선호텔특제육수 썰은김치 1.9kg,"24,800",0,0
"김치,반찬,델리",48,[노브랜드] 정성담은 무말랭이무침 250g,"4,280",0,0
"김치,반찬,델리",49,[청정원] 오징어채볶음100g,"5,880",0,0
"김치,반찬,델리",50,[비비고] CJ 비비고 총각김치 1.5KG,"20,900",0,0
"김치,반찬,델리",51,[피코크] 아몬드 고구마 샐러드 110g,"2,180",0,0
"김치,반찬,델리",52,[피코크] 크래미아 샐러드 500g,"8,980",0,0
"김치,반찬,델리",53,[피코크] 명란 한스푼 130g,"6,980",0,0
"김치,반찬,델리",54,[종가 전라도 포기김치 900g] 종가 전라도 포기김치 900g,"13,900",0,0
"김치,반찬,델리",55,[종가집] 갓김치 400g,"8,280",0,0
"김치,반찬,델리",56,[샘표] 우리엄마 매콤한 깻잎 70g,"2,480",0,0
"김치,반찬,델리",57,[종가집] 맛김치 400g,"5,980",0,0
"김치,반찬,델리",58,[종가집] 옛맛국산깻잎지 150g,"6,590",0,0
"김치,반찬,델리",59,[피코크] 아몬드고구마 샐러드 500g,"7,680",0,0
"김치,반찬,델리",60,[종가집] [청정원] 오징어채볶음 60g,"3,280",0,0
"김치,반찬,델리",61,[CJ제일제당] CJ 비비고 노릇하게 구운 갈치구이 70g,"5,480",0,0
"김치,반찬,델리",62,[비비고] CJ 비비고 베이직 포기김치 4KG,"34,800",0,0
"김치,반찬,델리",63,[해초샐러드(200g/팩)] 해초샐러드(200g/팩),"2,980",0,0
"김치,반찬,델리",64,[피코크] 후레쉬 콘 샐러드 500g,"7,680",0,0
"김치,반찬,델리",65,[종가집] 종가배추보쌈김치400g,"8,980",0,0
"김치,반찬,델리",66,[종가집] 묵은지 400g,"6,780",0,0
"김치,반찬,델리",67,[피코크] 아삭하고 시원한 포기김치 3.3kg,"21,440",0,0
"김치,반찬,델리",68,[종가집] 전라도 포기김치 3.3kg,"33,800",0,0
"김치,반찬,델리",69,[광천 토굴 새우젓 1kg] 광천 토굴 새우젓 1kg,"24,800",0,0
"김치,반찬,델리",70,[풀무원] 아삭고추 한입 장아찌 300g,"4,980",0,0
"김치,반찬,델리",71,[풀무원 칼국수김치 400g] 풀무원 칼국수김치 400g,"7,900",0,0
"김치,반찬,델리",72,[종가집] 썰어담은맛김치(PET) 500g,"9,180",0,0
"김치,반찬,델리",73,[피코크] 조선호텔 특제육수 무석박지 1kg,"11,800",0,0
"김치,반찬,델리",74,[본죽] 시그니처 쇠고기메추리알장조림 120g,"3,580",0,0
"김치,반찬,델리",75,[피코크] 국내산 보쌈무채 120g,"2,350",0,0
"김치,반찬,델리",76,[청정원] 견과류 멸치볶음 100g,"5,180",0,0
"김치,반찬,델리",77,[샘표] 우리엄마 깨끗한 깻잎 70g,"2,480",0,0
"김치,반찬,델리",78,[비비고] CJ 비비고 포기배추김치 3.3kg,"33,800",0,0
"김치,반찬,델리",79,[종가집] [종가] 오래오래맛있는열무김치 900g,"13,900",0,0
"김치,반찬,델리",80,[종가집] 깍두기 750g (PET),"10,800",0,0
