카테고리,번호,상품명,가격,X,Y
"면류,통조림",1,[농심] 올리브 짜파게티 (140gx5입),"4,880",0,0
"면류,통조림",2,[농심] 신라면 5입 600g (120gx5입),"3,900",0,0
"면류,통조림",3,[농심] 안성탕면 5입 625g(125gx5입),"3,700",0,0
"면류,통조림",4,[오뚜기] 진라면 매운맛 120g*5입,"3,580",0,0
"면류,통조림",5,[농심] 육개장 사발면 (86gx6입),"5,040",0,0
"면류,통조림",6,[풀무원] 정통가쓰오우동4인_943.2g,"8,980",0,0
"면류,통조림",7,[농심] 튀김우동 큰사발 111g,"1,160",0,0
"면류,통조림",8,[농심] 얼큰한 너구리 (120gx5입),"4,500",0,0
"면류,통조림",9,[오뚜기] 진라면 순한맛 (120GX5),"3,580",0,0
"면류,통조림",10,[팔도] 왕뚜껑 110g,980,0,0
"면류,통조림",11,[농심 신라면더레드 125g*4개] 농심 신라면더레드 125g*4개,"4,980",0,0
"면류,통조림",12,[노브랜드] 담백한 살코기참치 90g,"1,280",0,0
"면류,통조림",13,[노브랜드] 라면 한 그릇 115gx5봉입,"1,980",0,0
"면류,통조림",14,[팔도] 김치 왕뚜껑 110g,980,0,0
"면류,통조림",15,[농심] 튀김 우동 컵 (62g6입),"5,520",0,0
"면류,통조림",16,[농심] 오징어 짬뽕 5입 620g (124g5입),"4,880",0,0
"면류,통조림",17,[농심] 신라면 큰사발 114g,"1,160",0,0
"면류,통조림",18,[노브랜드] 짜장라면 5개입,"2,280",0,0
"면류,통조림",19,[오뚜기] 열라면 5입 (120g*5입),"3,580",0,0
"면류,통조림",20,[농심] 멸치 칼국수(98g5입) 490g,"4,500",0,0
"면류,통조림",21,[농심] 신라면 컵 6입 390g(65gx6입),"5,520",0,0
"면류,통조림",22,"[노브랜드] 우동사리1,150g","2,480",0,0
"면류,통조림",23,[팔도] 비빔면 130g*4개,"3,700",0,0
"면류,통조림",24,[노브랜드] 스위트콘340g,"1,180",0,0
"면류,통조림",25,[삼양] 삼양라면 5입,"3,680",0,0
"면류,통조림",26,[오뚜기] 진라면 소컵 매운맛(65gX6개),"5,100",0,0
"면류,통조림",27,[오뚜기] 진라면 소컵 순한맛(65gX6개),"5,100",0,0
"면류,통조림",28,[오뚜기] 스위트 콘 (340g),"1,980",0,0
"면류,통조림",29,[동원] 참치살코기 135g*8,"18,480",0,0
"면류,통조림",30,[농심] 사리면 110g*5입,"1,580",0,0
"면류,통조림",31,[노브랜드] 스파게티 1kg,"2,480",0,0
"면류,통조림",32,[오뚜기] 스낵면 540g (108g*5입),"3,180",0,0
"면류,통조림",33,[농심] 신라면 건면 5입,"4,780",0,0
"면류,통조림",34,[팔도] 팔도 도시락 86g,870,0,0
"면류,통조림",35,[노브랜드] 링귀니 500g,"1,380",0,0
"면류,통조림",36,[노브랜드] 맛있는리얼팜 340g,"3,680",0,0
"면류,통조림",37,[CJ제일제당] CJ 대왕납작당면 300g,"3,980",0,0
"면류,통조림",38,[노브랜드] 당면 500g,"2,980",0,0
"면류,통조림",39,[풀무원] 올바른 또띠아 우유(대) 225g,"3,400",0,0
"면류,통조림",40,[풀무원 즉석해물칼국수 2인 424.8g] 풀무원 즉석해물칼국수 2인 424.8g,"7,480",0,0
"면류,통조림",41,[농심] 짜파게티 범벅 (70g6입),"5,040",0,0
"면류,통조림",42,[삼양] 까르보불닭볶음면 105g,"1,500",0,0
"면류,통조림",43,[노브랜드] 칼국수 생면 1kg,"3,580",0,0
"면류,통조림",44,[팔도] 짬뽕 왕뚜껑 110g,980,0,0
"면류,통조림",45,[오뚜기] 옛날 국수 소면 900g,"3,550",0,0
"면류,통조림",46,[삼양] 불닭 볶음면 (140gx5입),"5,100",0,0
"면류,통조림",47,[오뚜기] 옛날자른당면300g,"4,780",0,0
"면류,통조림",48,[풀무원] 바릴라 스파게티 1kg,"4,536",0,0
"면류,통조림",49,[농심] 짜파게티 큰사발면 123g,"1,160",0,0
"면류,통조림",50,[오뚜기 마열라면 120g*4개] 오뚜기 마열라면 120g*4개,"4,480",0,0
"면류,통조림",51,[삼양] 불닭볶음면 105g,"1,400",0,0
"면류,통조림",52,[풀무원] 우동 사리면 210g,"1,380",0,0
"면류,통조림",53,[사조대림] 사조참치 안심따개100g*8입(살코기마일드+마일드참치),"14,480",0,0
"면류,통조림",54,[농심 순하군 안성탕면 125g*5개] 농심 순하군 안성탕면 125g*5개,"3,700",0,0
"면류,통조림",55,[농심] 사천짜파게티 4입,"4,580",0,0
"면류,통조림",56,[CJ제일제당] CJ 스팸마일드 200*6 (No Cap),"19,980",0,0
"면류,통조림",57,[CJ제일제당] 스팸 마일드 200g,"4,080",0,0
"면류,통조림",58,[농심] 사리곰탕면 (110gx5입),"4,880",0,0
"면류,통조림",59,[노브랜드] 정통가쓰오우동간편세트 486.6,"3,880",0,0
"면류,통조림",60,[노브랜드] 살코기참치150g,"2,280",0,0
"면류,통조림",61,[CJ제일제당] CJ 가쓰오우동4인 933.2g,"8,980",0,0
"면류,통조림",62,[농심] 새우탕 컵면 (67g6입),"5,520",0,0
"면류,통조림",63,[노브랜드] 슬라이스피클720ml,"2,780",0,0
"면류,통조림",64,[농심] 튀김 우동 컵 62g,920,0,0
"면류,통조림",65,[오뚜기] 참깨라면 용기 110g,"1,200",0,0
"면류,통조림",66,[농심] 새우탕 큰사발 115g,"1,160",0,0
"면류,통조림",67,"[CJ제일제당] CJ 스팸 클래식 1,200g (200g*6입)","18,480",0,0
"면류,통조림",68,[노브랜드] 고추참치150g,"2,280",0,0
"면류,통조림",69,[오뚜기] 옛날 자른 당면 500g,"7,680",0,0
"면류,통조림",70,[동원] 살코기참치90g*4,"9,480",0,0
"면류,통조림",71,[팔도] 틈새라면 빨계떡120g*5입,"4,840",0,0
"면류,통조림",72,[오뚜기] 오동통면 120g * 5,"4,000",0,0
"면류,통조림",73,[농심] 순한 너구리120gx5입,"4,500",0,0
"면류,통조림",74,[농심] 오징어 짬뽕 컵 67g,920,0,0
"면류,통조림",75,[노브랜드] 라면한그릇(얼큰한맛) 5입,"2,680",0,0
"면류,통조림",76,[풀무원] 로스팅짜장 파기름라면 4인,"3,980",0,0
"면류,통조림",77,[오뚜기] 진짬뽕 130gX4입,"6,180",0,0
"면류,통조림",78,[풀무원] 칼국수 550g (4인분),"4,480",0,0
"면류,통조림",79,[농심] 너구리 컵 (62g6입),"5,520",0,0
"면류,통조림",80,[삼양] 하바네로라임불닭볶음면 110g,"1,550",0,0
