카테고리,번호,상품명,가격,X,Y
"밀키트,간편식",1,[노브랜드] 숯불 데리야끼 닭꼬치 800g,"14,980",0,0
"밀키트,간편식",2,[노브랜드] 크라비 맛살 150g,"1,880",0,0
"밀키트,간편식",3,[풀무원] 롤유부초밥280g,"6,980",0,0
"밀키트,간편식",4,[CJ] 햇반 (210g*12입),"13,980",0,0
"밀키트,간편식",5,[풀무원] 우리동네 떡볶이 오리지널 330g,"4,980",0,0
"밀키트,간편식",6,[피코크] 고래사어묵 모듬국탕어묵 432g,"7,584",0,0
"밀키트,간편식",7,[CJ]삼호 부산어묵 골드 사각300g,"2,780",0,0
"밀키트,간편식",8,[목우촌] 주부9단 비엔나소시지 1kg,"9,980",0,0
"밀키트,간편식",9,[샘표] 폰타나 피에몬테 그릴드 머쉬룸 크림 수프 180g,"2,980",0,0
"밀키트,간편식",10,[비비고]김치왕교자 315g,"5,980",0,0
"밀키트,간편식",11,[풀무원] 말랑말랑 밀누들 떡볶이(국물떡볶이 소스),"5,480",0,0
"밀키트,간편식",12,[노브랜드] 김밥용 맛 단무지 500g,"2,180",0,0
"밀키트,간편식",13,[노브랜드] 쫄깃한 베이컨 300g,"4,980",0,0
"밀키트,간편식",14,[비비고]물만두 315g,"6,980",0,0
"밀키트,간편식",15,[CJ제일제당] CJ 미정당국물떡볶이401.2g,"2,980",0,0
"밀키트,간편식",16,[목우촌 주부9단프랑크레트로기획 500g] 목우촌 주부9단프랑크레트로기획 500g,"4,780",0,0
"밀키트,간편식",17,[노브랜드] 한입쏙쏙비엔나 550g,"6,980",0,0
"밀키트,간편식",18,[노브랜드] 간편한 유부초밥 540g,"5,680",0,0
"밀키트,간편식",19,[CJ제일제당] 더(The)건강한 샌드위치햄 90g,"2,480",0,0
"밀키트,간편식",20,[비비고] 진한고기만두 327G,"6,980",0,0
"밀키트,간편식",21,[햇반] CJ 햇반컵반 치킨마요덮밥 233g,"4,480",0,0
"밀키트,간편식",22,[노브랜드] 교자만두1000g,"4,480",0,0
"밀키트,간편식",23,[노브랜드] 우엉절임과 김밥단무지 220g,"2,400",0,0
"밀키트,간편식",24,[노브랜드] 우리 쌀밥 한공기 210g,950,0,0
"밀키트,간편식",25,[햇반] CJ 햇반컵반 미역국밥 167g,"3,980",0,0
"밀키트,간편식",26,[노브랜드] 아삭한 쌈무 350g,"1,880",0,0
"밀키트,간편식",27,[오뚜기] 수원식 우거지갈비탕500G,"7,480",0,0
"밀키트,간편식",28,[비비고] 한섬만두320g,"5,980",0,0
"밀키트,간편식",29,[피코크] 모짜렐라 비프라자냐 350g,"4,784",0,0
