카테고리,번호,상품명,가격,X,Y
"베이커리,잼",1,[CJ제일제당] CJ 비비고 단팥 붕어빵 300g,"9,980",0,0
"베이커리,잼",2,[피코크] 호떡 480g,"4,186",0,0
"베이커리,잼",3,[피코크] 계피 호떡 480g,"4,186",0,0
"베이커리,잼",4,[삼립] 효모로만든 로만밀 통밀식빵 420g,"2,980",0,0
"베이커리,잼",5,[삼립] 56시간 저온숙성 숙식빵 420g,"2,880",0,0
"베이커리,잼",6,[삼립] 발효미종 단팥호빵8입 720g,"6,304",0,0
"베이커리,잼",7,[노브랜드] 스트로베리잼450g,"3,180",0,0
"베이커리,잼",8,[삼립] 발효미종야채호빵4입360g,"5,280",0,0
"베이커리,잼",9,[피코크] 생크림카스테라 150g,"3,980",0,0
"베이커리,잼",10,[노브랜드] 딸기잼 800g,"5,880",0,0
"베이커리,잼",11,[노브랜드] 피넛버터 크리미 340g,"3,480",0,0
"베이커리,잼",12,[피코크] 미니 크로와상300g(생지),"8,980",0,0
"베이커리,잼",13,[삼립] 발효미종 듬뿍피자호빵4입360g,"5,280",0,0
"베이커리,잼",14,[롯데웰푸드] 아이러브 토스트 750g,"3,480",0,0
"베이커리,잼",15,[삼립] 버터롤 클래식 21,"4,980",0,0
"베이커리,잼",16,[복음자리] 딸기쨈640g,"9,580",0,0
"베이커리,잼",17,[피코크] 레이디핑거 티라미수 500g,"7,984",0,0
"베이커리,잼",18,[삼립] 샤니 생크림 파운드 미니 360g,"6,280",0,0
"베이커리,잼",19,[삼립] 오븐에구운버터휘낭시에 360g,"7,480",0,0
"베이커리,잼",20,[복음자리] 45도과일잼 딸기 350g,"5,980",0,0
"베이커리,잼",21,[노브랜드] 티라미수 180g,"2,980",0,0
"베이커리,잼",22,[피코크] 플레인 까눌레 9입 270g,"7,984",0,0
"베이커리,잼",23,[파스키에] 팡올레 280g,"5,480",0,0
"베이커리,잼",24,[삼립] 발효미종 단팥&고구마호빵8입 720g,"6,704",0,0
"베이커리,잼",25,[청정원] 스키피땅콩버터청크 462g,"8,480",0,0
"베이커리,잼",26,[노브랜드] 피넛버터 크런치 340g,"3,480",0,0
"베이커리,잼",27,[오뚜기] 딸기잼 (500g),"6,980",0,0
"베이커리,잼",28,[매일유업] 누텔라잼 370g,"6,400",0,0
