카테고리,번호,상품명,가격,X,Y
"생수,음료,주류",1,[삼다수] 제주삼다수 그린 2L 6병,"6,480",0,0
"생수,음료,주류",2,[해태htb] 강원 평창수 2L*6입 (무라벨),"5,880",0,0
"생수,음료,주류",3,[농심] 백산수 2L* 6입(무라벨),"5,880",0,0
"생수,음료,주류",4,[피코크] 트루워터 330ml X 20(무라벨 생수),"3,984",0,0
"생수,음료,주류",5,[피코크] 트루워터 2L X 6(무라벨 생수),"2,784",0,0
"생수,음료,주류",6,[코카콜라] 파워에이드 마운틴 블라스트 (1.5L),"3,600",0,0
"생수,음료,주류",7,[미닛메이드] 오렌지 1.2L,"3,680",0,0
"생수,음료,주류",8,[코카콜라] 215ml 12입,"7,780",0,0
"생수,음료,주류",9,[롯데칠성] 아이시스8.0ECO 2L*6입,"4,608",0,0
"생수,음료,주류",10,[롯데칠성] 펩시 제로슈거 라임향 210ml*10,"4,980",0,0
"생수,음료,주류",11,[코카콜라] 제로 1.5LX2,"4,580",0,0
"생수,음료,주류",12,[코카콜라] 토레타 1.5L,"3,600",0,0
"생수,음료,주류",13,[코카콜라] 1.8L 2입 기획,"5,980",0,0
"생수,음료,주류",14,[코카콜라] 스프라이트 1L,980,0,0
"생수,음료,주류",15,[포카리스웨트 1.8L*2] 포카리스웨트 1.8L*2,"4,480",0,0
"생수,음료,주류",16,[롯데칠성] 밀키스제로 300ml x 6입,"5,880",0,0
"생수,음료,주류",17,[농심] 백산수 500ml,430,0,0
"생수,음료,주류",18,[스프라이트] 제로 1L,980,0,0
"생수,음료,주류",19,[현대약품] 미에로화이바,"3,480",0,0
"생수,음료,주류",20,[코카콜라] 제로 215ml*12,"7,780",0,0
"생수,음료,주류",21,[노브랜드] Fresh제주감귤음료1.5L,"1,880",0,0
"생수,음료,주류",22,[농심] 백산수 330ml,390,0,0
"생수,음료,주류",23,[야채듬뿍 더진한 레드 125ml*4팩] 야채듬뿍 더진한 레드 125ml*4팩,"4,980",0,0
"생수,음료,주류",24,[노브랜드] 콜라1.5L,980,0,0
"생수,음료,주류",25,[미닛메이드] 포도 1.2L,"3,680",0,0
"생수,음료,주류",26,[델몬트 후레쉬 프로듀스] 마음담은기쁨드림선물세트180ml*12,"12,800",0,0
"생수,음료,주류",27,[롯데칠성] 야채듬뿍 더진한 퍼플 125ml*4팩,"4,980",0,0
"생수,음료,주류",28,[미닛메이드] 제주감귤 1.2L,"2,880",0,0
"생수,음료,주류",29,[트레비] 레몬 300ml*20,"9,780",0,0
"생수,음료,주류",30,[코카콜라 350mlX10입] 코카콜라 350mlX10입,"8,980",0,0
"생수,음료,주류",31,[해태htb] 갈아만든 배 1L,"1,500",0,0
"생수,음료,주류",32,[노브랜드] Fresh알로에음료1.5L,"1,880",0,0
"생수,음료,주류",33,[농심] 카프리썬 오렌지망고 2L (200ml10입),"6,980",0,0
"생수,음료,주류",34,[노브랜드] 식혜 음료 238ml*12,"5,980",0,0
"생수,음료,주류",35,[롯데]아이시스 8.0 300ml,330,0,0
"생수,음료,주류",36,[씨그램] 플레인 무라벨 350ml*12,"5,980",0,0
"생수,음료,주류",37,[노브랜드] 캔콜라355ml*6,"2,880",0,0
"생수,음료,주류",38,[웅진] 자연은 토마토 주스 1.5L,"2,480",0,0
"생수,음료,주류",39,[코카콜라] 300ml*12PET,"11,870",0,0
"생수,음료,주류",40,[칠성사이다 레트로 300mlx10입(더 리미티드)] 칠성사이다 레트로 300mlx10입(더 리미티드),"6,980",0,0
"생수,음료,주류",41,[노브랜드] 캔콜라 제로 355ml*6,"2,880",0,0
"생수,음료,주류",42,[파워에이드 제로 1.5L] 파워에이드 제로 1.5L,"3,600",0,0
"생수,음료,주류",43,[서울우유] 아침에주스 오렌지 210ml*3개,"3,480",0,0
"생수,음료,주류",44,[박카스] F 120ml*20입,"15,980",0,0
"생수,음료,주류",45,[동원] 쿨피스플러스 930ml*2입 (맛 점포별 랜덤발송),"2,180",0,0
"생수,음료,주류",46,[롯데칠성] 플레인300ml*20입,"9,780",0,0
"생수,음료,주류",47,[델몬트] 드링크 버라이어티팩 (오렌지+포도+망고+사과) 190㎖*12팩,"5,180",0,0
"생수,음료,주류",48,[하이트진로] 블랙보리 라이트 1.5L,"1,180",0,0
"생수,음료,주류",49,[피코크] 블렌디드 딸기 870ml,"8,640",0,0
"생수,음료,주류",50,[노브랜드] Fresh토마토음료 1.5L,"1,880",0,0
"생수,음료,주류",51,[델몬트] 콜드 오렌지1.0L*2팩,"5,480",0,0
"생수,음료,주류",52,[광동] (S) 비타500 칼슘 (100ml*20개),"13,980",0,0
"생수,음료,주류",53,[씨그램] 라임 무라벨 350ML*12,"5,980",0,0
"생수,음료,주류",54,[씨그램] 레몬 무라벨 350ML*12,"5,980",0,0
"생수,음료,주류",55,[노브랜드] Fresh망고음료1.5L,"2,080",0,0
"생수,음료,주류",56,[델몬트 후레쉬 프로듀스] 델몬트 오렌지 1.8L,"4,980",0,0
"생수,음료,주류",57,[롯데칠성] 탐스제로 사과키위향 1.5L,"2,580",0,0
"생수,음료,주류",58,[델몬트 후레쉬 프로듀스] 오렌지 드링크(190ml24팩) 4560ml,"7,980",0,0
"생수,음료,주류",59,[델몬트 후레쉬 프로듀스] 델몬트 망고 1.8L,"4,980",0,0
"생수,음료,주류",60,[팔도] 귀여운 내친구 뽀로로 밀크맛 235ml,"1,250",0,0
"생수,음료,주류",61,[피코크] ABC클렌즈주스 900ml (비가열),"8,960",0,0
"생수,음료,주류",62,[서울우유] 아침에주스 포도 1.8L,"4,380",0,0
"생수,음료,주류",63,[남양] 몸이 가벼워지는 시간 17차 (茶) 1.5L,"1,480",0,0
"생수,음료,주류",64,[롯데칠성] 사이다제로1.5펫*2입,"4,180",0,0
"생수,음료,주류",65,[광동] 비타500 (100ml*10입),"6,980",0,0
"생수,음료,주류",66,[코카콜라] 1.8L,"3,730",0,0
"생수,음료,주류",67,[롯데칠성] 탐스제로 오렌지향 1.5L,"2,580",0,0
"생수,음료,주류",68,[롯데칠성] 자몽 300ml*20입,"9,780",0,0
"생수,음료,주류",69,[Limmi] 레몬 쥬스 200ml,"2,380",0,0
"생수,음료,주류",70,[펩시] 제로슈거 라임향 무라벨 300ml*12,"10,880",0,0
"생수,음료,주류",71,[농심] 웰치 그레이프맛 (355ml6개),"5,680",0,0
"생수,음료,주류",72,[노브랜드] 쿨피치930ml,980,0,0
"생수,음료,주류",73,[(주)일화] 초정탄산수 1.5L,"1,780",0,0
"생수,음료,주류",74,[펩시] 제로슈거1.5펫*2입,"3,980",0,0
"생수,음료,주류",75,[롯데칠성] 칠성 사이다 1.5L+밀키스 1.5L,"4,280",0,0
"생수,음료,주류",76,[노브랜드] 제로콜라 1L,980,0,0
"생수,음료,주류",77,[코카콜라] 코카콜라 500ml,"1,980",0,0
"생수,음료,주류",78,[농심] 카프리썬 오렌지 2L (200ml10입),"6,980",0,0
"생수,음료,주류",79,[삼다수] 330ml,430,0,0
"생수,음료,주류",80,[서울우유] 아침에주스 오렌지 1.8L,"4,380",0,0
