카테고리,번호,상품명,가격,X,Y
"수산물,건해산",1,[노브랜드] 구운 김밥용 김 (10매/20g),"1,680",0,0
"수산물,건해산",2,[노브랜드] 도시락 김 100g (5g*20),"5,480",0,0
"수산물,건해산",3,[인도] 점보 칵테일 새우살 (21-25) (450g),"16,980",0,0
"수산물,건해산",4,[노브랜드] 노브랜드 냉동 새우살 (31-40) (450g),"12,800",0,0
"수산물,건해산",5,[동원] 더 바삭한 양반 식탁김 100g (5g*20),"8,980",0,0
"수산물,건해산",6,[광천김] 맛있다! 파래김 광천김 100g (5g*20),"7,980",0,0
"수산물,건해산",7,[미역줄기(300g/팩)] 미역줄기(300g/팩),"2,480",0,0
"수산물,건해산",8,[풀무원] 들기름 재래김 도시락김 100g (5g*20),"8,980",0,0
"수산물,건해산",9,[노브랜드] 전장 김 100g (20g*5),"4,280",0,0
"수산물,건해산",10,[국산의힘] 고흥 미역 150g,"4,680",0,0
"수산물,건해산",11,[비비고] CJ 비비고 직화 들기름김 (4.5g*20),"8,980",0,0
"수산물,건해산",12,[기획]쌈다시마,"2,980",0,0
"수산물,건해산",13,[광천김] 광천 곱창돌김 100g (5g*20),"8,980",0,0
"수산물,건해산",14,[줄기를 제거한 부드러운 완도미역 200g] 줄기를 제거한 부드러운 완도미역 200g,"5,980",0,0
"수산물,건해산",15,[동원] 훈제 연어 슬라이스 (700g),"26,980",0,0
"수산물,건해산",16,[풀무원 직화순살고등어 85g] 풀무원 직화순살고등어 85g,"4,980",0,0
"수산물,건해산",17,[청해명가] 짜지않아 맛있는 삼천포멸치 300g,"12,980",0,0
"수산물,건해산",18,[노브랜드] [냉동][중국] 해물 모둠 (500g),"8,880",0,0
"수산물,건해산",19,[만전식품] 쉽게 뿌려먹는 김가루 150g,"6,580",0,0
"수산물,건해산",20,[냉동][인도] 킹 칵테일 새우살 (26-30) (450g),"15,980",0,0
"수산물,건해산",21,[노브랜드] 빼빼오 오징어 100g,"6,980",0,0
"수산물,건해산",22,[동원] 동원 훈제 연어 (오리지날) (180g),"10,980",0,0
"수산물,건해산",23,[노브랜드] 채끝 스테이크 육포 200g,"11,980",0,0
"수산물,건해산",24,[노브랜드] 어포스낵 피쉬짱 (200g),"4,580",0,0
"수산물,건해산",25,[러시아] 대한민국명장 장석준 명란 (오리지널) (100g),"7,480",0,0
"수산물,건해산",26,[국산의힘] 고흥 다시마 300g,"7,980",0,0
"수산물,건해산",27,[러시아] 대한민국명장 장석준 명란 기획 (온명란) (100g*2),"12,980",0,0
"수산물,건해산",28,[국산] 남해안 생굴 (250g/봉)(가열조리용),"5,988",0,0
"수산물,건해산",29,[풀무원 직화가자미 90g] 풀무원 직화가자미 90g,"4,980",0,0
"수산물,건해산",30,[청해명가] 짠맛을 줄인 어린이멸치 130g,"7,980",0,0
"수산물,건해산",31,[동원]원육포 오리지널 150g (50g*3),"9,980",0,0
"수산물,건해산",32,[무가미 구운 돌김 36g(6g×6봉)] 무가미 구운 돌김 36g(6g×6봉),"4,980",0,0
"수산물,건해산",33,[신화fs] 버터구이 대왕 오징어 180g (90g*2),"13,980",0,0
"수산물,건해산",34,[풀무원 직화갈치구이 80g] 풀무원 직화갈치구이 80g,"4,980",0,0
"수산물,건해산",35,[잭링크스] 페퍼드 육포 100g,"6,980",0,0
"수산물,건해산",36,[머거본] 통꾸이 220g,"9,980",0,0
"수산물,건해산",37,[톳(200g/팩)] 톳(200g/팩),"2,480",0,0
"수산물,건해산",38,[국산] 이동삼 안동 간고등어 (500g/팩),"14,800",0,0
"수산물,건해산",39,[국산] 홍어회 모둠 (180g/팩),"19,980",0,0
"수산물,건해산",40,[광천김] 맛있다! 재래김 광천김 100g (20g*5),"7,980",0,0
"수산물,건해산",41,[풀무원] 풀무원 네번 구워 향긋한 김밥 김 (10매/20g),"1,980",0,0
"수산물,건해산",42,[리얼육포 200g] 리얼육포 200g,"12,980",0,0
"수산물,건해산",43,[질러] 부드러운 육포 100g,"9,880",0,0
"수산물,건해산",44,[기획]쇠미역,"2,980",0,0
"수산물,건해산",45,[질러]쇠고기 치즈포 40g*3,"7,980",0,0
"수산물,건해산",46,"[아르헨티나] 손질 오징어 (대, 마리)","3,980",0,0
"수산물,건해산",47,[꼬시래기(200g/팩)] 꼬시래기(200g/팩),"2,480",0,0
"수산물,건해산",48,[동원] 양반 들기름김 100g (5g*20),"8,980",0,0
"수산물,건해산",49,[해우촌] 해남 산소리 파래김 100g (5g*20),"6,980",0,0
"수산물,건해산",50,[동원] 양반 ECO 히말라야소금김 20봉,"7,980",0,0
"수산물,건해산",51,[잭링크스] 마누카스모크드 육포 100g,"6,980",0,0
"수산물,건해산",52,[풀무원 직화고등어 85g] 풀무원 직화고등어 85g,"4,980",0,0
