카테고리,번호,상품명,가격,X,Y
"쌀,잡곡,견과",1,[2023년산]이맛쌀 20kg,"59,800",24,25
"쌀,잡곡,견과",2,[노브랜드] 리얼 데일리너츠 400g (20g*20개입),"9,980",24,25
"쌀,잡곡,견과",3,[이맛쌀 현미5kg] 이맛쌀 현미5kg,"14,500",24,25
"쌀,잡곡,견과",4,[노브랜드] 혼합 9곡 4kg,"9,980",24,25
"쌀,잡곡,견과",5,[[더리미티드] 오리지널 믹스넛 500g] [더리미티드] 오리지널 믹스넛 500g,"7,480",24,25
"쌀,잡곡,견과",6,[병아리콩 500g] 병아리콩 500g,"3,180",24,25
"쌀,잡곡,견과",7,[광복농산] 96시간 숙성하여 맛이 깊고 부드러운 찰흑미1kg,"6,880",24,25
"쌀,잡곡,견과",8,[광복농산] 96시간 숙성하여 맛이 깊고 부드러운 서리태 500g,"7,380",24,25
"쌀,잡곡,견과",9,[배대감] 찹쌀가루 400g,"3,380",24,25
"쌀,잡곡,견과",10,[노브랜드] 믹스넛 600g,"9,980",24,25
"쌀,잡곡,견과",11,[매일견과블루베리20g*23봉] 매일견과블루베리20g*23봉,"13,800",24,25
"쌀,잡곡,견과",12,[광복농산] 120시간숙성한팥500g,"8,380",24,25
"쌀,잡곡,견과",13,[카무트 500g] 카무트 500g,"7,880",24,25
"쌀,잡곡,견과",14,[건양] 씻어나온 쌀 2kg,"10,480",24,25
"쌀,잡곡,견과",15,[오색오미 2kg] 오색오미 2kg,"14,500",24,25
"쌀,잡곡,견과",16,[블랙 렌틸콩 500g] 블랙 렌틸콩 500g,"4,780",24,25
"쌀,잡곡,견과",17,[한눈에 반한 쌀 10kg] 한눈에 반한 쌀 10kg,"35,900",24,25
"쌀,잡곡,견과",18,[노브랜드] 국내산 현미로 만든 스틱 미숫가루 600g,"9,980",24,25
"쌀,잡곡,견과",19,[용두농협] 동진 찹쌀 2kg,"11,400",24,25
"쌀,잡곡,견과",20,[미동농산] 호박씨 400g,"5,780",24,25
"쌀,잡곡,견과",21,[동우농산] 미국산건포도 300g,"3,980",24,25
"쌀,잡곡,견과",22,[발아 찰흑미 1kg] 발아 찰흑미 1kg,"8,980",24,25
"쌀,잡곡,견과",23,[HBAF] 하루견과 핑크 20G*10입,"5,980",24,25
"쌀,잡곡,견과",24,[HBAF] 먼투썬 3주,"17,800",24,25
"쌀,잡곡,견과",25,[미동농산] 해바라기씨 500g,"4,000",24,25
"쌀,잡곡,견과",26,[찹쌀 4kg] 찹쌀 4kg,"11,800",24,25
"쌀,잡곡,견과",27,[미동농산] 카카오닙스 220g,"6,280",24,25
"쌀,잡곡,견과",28,[성진] 찹쌀가루 1kg,"8,280",24,25
"쌀,잡곡,견과",29,[머거본] 꿀땅콩300g,"3,080",24,25
"쌀,잡곡,견과",30,[자연주의] 친환경 여주쌀 4kg,"35,800",24,25
"쌀,잡곡,견과",31,[백태500g] 백태500g,"5,280",24,25
"쌀,잡곡,견과",32,[HBAF] 하루견과 블랙 20g*10입,"7,480",24,25
"쌀,잡곡,견과",33,[믹스넛 점보 프리미엄] 믹스넛 점보 프리미엄,"38,700",24,25
"쌀,잡곡,견과",34,[자연주의] 유기농 발아 미숫가루 700g,"15,980",24,25
"쌀,잡곡,견과",35,[자연주의] 유기농 밤 700g/팩,"7,280",24,25
"쌀,잡곡,견과",36,[햄프씨드 400g] 햄프씨드 400g,"6,280",24,25
"쌀,잡곡,견과",37,[자연주의] 무농약 여주쌀 4kg,"33,800",24,25
"쌀,잡곡,견과",38,[자연주의] 유기농 발아 블랙 미숫가루 700g,"16,980",24,25
"쌀,잡곡,견과",39,[흰강낭콩 500g] 흰강낭콩 500g,"4,180",24,25
"쌀,잡곡,견과",40,[헤이즐넛향 커피땅콩 300g] 헤이즐넛향 커피땅콩 300g,"3,080",24,25
"쌀,잡곡,견과",41,[볶음 캐슈넛 500g] 볶음 캐슈넛 500g,"12,800",24,25
"쌀,잡곡,견과",42,[미동농산] 마르코나 아몬드 260g,"9,980",24,25
"쌀,잡곡,견과",43,[23년산 햅쌀]철원오대쌀10kg,"57,900",24,25
"쌀,잡곡,견과",44,[불릴필요없는 현미2kg] 불릴필요없는 현미2kg,"9,480",24,25
"쌀,잡곡,견과",45,[미동농산] 브라질넛 400g,"15,280",24,25
"쌀,잡곡,견과",46,[밤 800g/봉] 밤 800g/봉,"6,980",24,25
"쌀,잡곡,견과",47,[오덕쌀 친들미 10kg] 오덕쌀 친들미 10kg,"31,900",24,25
"쌀,잡곡,견과",48,[광복농산] 찰현미4kg,"15,600",24,25
"쌀,잡곡,견과",49,[단짠믹스 450g] 단짠믹스 450g,"6,880",24,25
"쌀,잡곡,견과",50,[두보식품] 오트밀 800g (캐나다산),"5,780",24,25
"쌀,잡곡,견과",51,[의성농협] 바른고을 의성진쌀 10kg,"33,500",24,25
"쌀,잡곡,견과",52,[23년산 햅쌀]한눈에반한쌀10kg,"35,940",24,25
"쌀,잡곡,견과",53,[두보식품] 국산의힘 귀리쌀1.7kg,"10,480",24,25
"쌀,잡곡,견과",54,[한눈에 반한 쌀5kg] 한눈에 반한 쌀5kg,"26,200",24,25
"쌀,잡곡,견과",55,[HBAF] 메이플믹스넛 190G,"7,980",24,25
"쌀,잡곡,견과",56,[자연주의] 무농약 찰기많은 혼합8곡 2kg,"15,980",24,25
"쌀,잡곡,견과",57,[광복농산] 귀리쌀(캐나다산)4kg,"8,380",24,25
"쌀,잡곡,견과",58,[오덕쌀 친들미 4kg] 오덕쌀 친들미 4kg,"13,900",24,25
"쌀,잡곡,견과",59,[한눈에 반한 쌀 3kg] 한눈에 반한 쌀 3kg,"17,800",24,25
"쌀,잡곡,견과",60,[캘리포니아호두 500g] 캘리포니아호두 500g,"9,800",24,25
"쌀,잡곡,견과",61,[광복농산] 찰보리쌀 4kg,"12,400",24,25
"쌀,잡곡,견과",62,[노브랜드] 리얼넛츠 600g,"11,800",24,25
"쌀,잡곡,견과",63,[2023년산]이맛쌀 10kg,"31,900",24,25
"쌀,잡곡,견과",64,[길림양행] 구운 아몬드 350g,"6,580",24,25
"쌀,잡곡,견과",65,[특등급] 임금님표 이천쌀 10kg,"48,200",24,25
"쌀,잡곡,견과",66,[햇살드리] 수향미 10kg,"38,900",24,25
"쌀,잡곡,견과",67,[대왕님표여주쌀] 대왕님표 여주 진상미 10Kg,"47,700",24,25
"쌀,잡곡,견과",68,[불릴필요없는 찰현미2kg] 불릴필요없는 찰현미2kg,"10,480",24,25
"쌀,잡곡,견과",69,[머거본] 볶음땅콩 300g,"4,280",24,25
"쌀,잡곡,견과",70,[동우농산] 아몬드 슬라이스 200g,"4,180",24,25
"쌀,잡곡,견과",71,[대왕님표여주쌀] 대왕님표 여주쌀 진상미 4kg,"24,000",24,25
"쌀,잡곡,견과",72,[유명산지 공주 밤(대) 800g (봉)] 유명산지 공주 밤(대) 800g (봉),"4,895",24,25
"쌀,잡곡,견과",73,[광복농산] 96시간 숙성하여 맛이 깊고 부드러운 콩과귀리10곡 2kg,"12,400",24,25
"쌀,잡곡,견과",74,[23년산 햅쌀]경기미10kg,"34,800",24,25
"쌀,잡곡,견과",75,[강화섬쌀 고시히카리 10kg] 강화섬쌀 고시히카리 10kg,"45,900",24,25
"쌀,잡곡,견과",76,[HBAF] 캘리포니아호두 200g,"4,400",24,25
"쌀,잡곡,견과",77,[광복농산] 백옥 찹쌀1kg,"6,280",24,25
"쌀,잡곡,견과",78,[두보식품] 찰기장쌀500g,"7,880",24,25
"쌀,잡곡,견과",79,[대왕님표여주쌀] 대왕님표 여주 자채쌀 4kg,"20,900",24,25
"쌀,잡곡,견과",80,[강화섬쌀 고시히카리 4kg] 강화섬쌀 고시히카리 4kg,"17,900",24,25
