카테고리,번호,상품명,가격,X,Y
"양념,오일",1,[폰타나] 올리브오일500ml,"16,580",0,0
"양념,오일",2,[오뚜기] 양조식초 1.8L,"2,600",0,0
"양념,오일",3,[오뚜기] 토마토케찹 300g,"1,980",0,0
"양념,오일",4,[삼양] 불닭소스 200g,"4,200",0,0
"양념,오일",5,[오뚜기] 골드 마요네즈 (300g),"3,950",0,0
"양념,오일",6,[CJ제일제당] CJ해찬들 쌈장 450g(고기전용),"6,880",0,0
"양념,오일",7,[오뚜기] 부침가루 1kg,"3,400",0,0
"양념,오일",8,[해찬들] 그대로 끓여먹는 된장찌개 전용 된장 450g,"8,780",0,0
"양념,오일",9,[노브랜드] 홈스타일 토마토 스파게티 소스 400g,"2,180",0,0
"양념,오일",10,[Fontana] 폰타나 오리엔탈드레싱 270g,"3,780",0,0
"양념,오일",11,[백설] 하얀설탕 (1kg),"2,380",0,0
"양념,오일",12,[샘표] [Fontana] 폰타나 발사믹드레싱 270g,"3,780",0,0
"양념,오일",13,[오뚜기] 토마토케찹500g,"3,180",0,0
"양념,오일",14,[노브랜드] 사골육수 500g,980,0,0
"양념,오일",15,[해표] 식용유1.8L,"7,500",0,0
"양념,오일",16,[청정원] 태양초 찰고추장 1kg,"19,000",0,0
"양념,오일",17,[롯데칠성] 미림 500ml,"2,380",0,0
"양념,오일",18,[대상] 미원 맛소금 250g,"1,330",0,0
"양념,오일",19,[노브랜드] 정성깃든고추장 1kg,"3,580",0,0
"양념,오일",20,[해찬들] 우리쌀로 만든 태양초 골드 고추장 1kg,"17,900",0,0
"양념,오일",21,[노브랜드] 카놀라유 1L,"4,480",0,0
"양념,오일",22,[노브랜드] 홈스타일 크림 스파게티 소스 400g,"2,280",0,0
"양념,오일",23,[CJ제일제당] CJ 다담 바지락 순두부 찌개양념 140g,"2,380",0,0
"양념,오일",24,[Fontana] 무지방 샐러드 드레싱 오리엔탈 235g,"3,780",0,0
"양념,오일",25,[오뚜기] 골드 마요네즈 500g,"5,950",0,0
"양념,오일",26,[청정원] 맛술 830ml(생강&매실),"3,580",0,0
"양념,오일",27,[삼양] 불닭마요 250g,"4,200",0,0
"양념,오일",28,[다담] 된장찌개양념500g,"6,980",0,0
"양념,오일",29,[오뚜기] 허니 머스타드 소스 265g,"3,080",0,0
"양념,오일",30,[노브랜드] 감자맛전분99.9 350g,"2,580",0,0
"양념,오일",31,[청정원] 파스타소스 600g(토마토),"4,980",0,0
"양념,오일",32,[폰타나] 아르베끼나 올리브오일250ml,"10,480",0,0
"양념,오일",33,[노브랜드] 포도씨유 1L,"9,880",0,0
"양념,오일",34,[오뚜기] 이금기 팬더굴소스 255g,"3,000",0,0
"양념,오일",35,[샘표] 진간장 금F3 (500ml),"3,760",0,0
"양념,오일",36,[백설] 갈색설탕 (중백당) 1kg,"2,880",0,0
"양념,오일",37,[해표] 식용유900ml,"5,180",0,0
"양념,오일",38,[노브랜드] 정성깃든쌈장 500g,"1,980",0,0
"양념,오일",39,[곰표] 중력 밀가루 1kg,"1,840",0,0
"양념,오일",40,[CJ제일제당] CJ백설 올리고당 700g,"4,280",0,0
"양념,오일",41,[오뚜기] 이금기굴소스(팬더) 510g,"4,380",0,0
"양념,오일",42,[노브랜드] 볶음참깨 200g,"3,180",0,0
"양념,오일",43,[샘표] 폰타나 볼로네제 파스타소스 430g,"5,980",0,0
"양념,오일",44,[청정원] 고소한 마요네즈 300g,"3,600",0,0
"양념,오일",45,[샘표] 폰타나 크림파스타소스430g,"6,980",0,0
"양념,오일",46,[가나] 다진마늘(450G),"8,980",0,0
"양념,오일",47,[CJ제일제당] CJ 다담 순두부찌개 140g*4,"6,980",0,0
"양념,오일",48,[샘표] 폰타나 뽀모도로 파스타 소스 600g,"5,680",0,0
"양념,오일",49,[피코크] 달콤쫄깃 찹쌀호떡 400g,"5,980",0,0
"양념,오일",50,[해찬들] 재래식 된장 1kg,"8,980",0,0
"양념,오일",51,[오뚜기] 고소한참기름320ml(병),"10,600",0,0
"양념,오일",52,[청정원] 허니머스타드소스 320g,"4,180",0,0
"양념,오일",53,[오뚜기] 타타르 소스 245g,"2,950",0,0
"양념,오일",54,[오뚜기] 튀김가루 1kg,"3,400",0,0
"양념,오일",55,[오뚜기 레트로 케찹 500g] 오뚜기 레트로 케찹 500g,"2,380",0,0
"양념,오일",56,[후이펑] 닭표 스리라차 칠리소스 255g,"7,980",0,0
"양념,오일",57,[오뚜기] 순후추 100g,"6,180",0,0
"양념,오일",58,[MORN] 몬 스위트 칠리소스 240g,"2,900",0,0
"양념,오일",59,[샘표] 폰타나 시칠리아 페페론치노 아라비아따 파스타소스 600g,"5,680",0,0
"양념,오일",60,[샘표] 폰타나드레싱260g(시저),"3,780",0,0
"양념,오일",61,[샘표] 진간장 금F3 860ml,"5,180",0,0
"양념,오일",62,[CJ]다시다 명품 골드 96g,"5,080",0,0
"양념,오일",63,[오뚜기] 양조식초 900ml,"1,700",0,0
"양념,오일",64,[청정원] 홀그레인머스타드디핑소스 320g,"3,950",0,0
"양념,오일",65,[고기엔 참소스 300g] 고기엔 참소스 300g,"2,680",0,0
"양념,오일",66,[청정원] 서해안까나리액젓 750g+250g,"4,500",0,0
"양념,오일",67,[폰타나] 드레싱 270g(그릭요거트),"3,780",0,0
"양념,오일",68,[오뚜기] 옛날참기름450ml(캔),"11,480",0,0
"양념,오일",69,[CJ]해찬들그대로끓여먹는된장450g(쇠고기),"8,780",0,0
"양념,오일",70,[삼양] 불닭치폴레마요 250g,"4,200",0,0
"양념,오일",71,[노브랜드] 국산 고춧가루 500g,"13,980",0,0
"양념,오일",72,[해찬들] 물로만 끓여도 부드럽고 순한미소된장 450G,"8,780",0,0
"양념,오일",73,[청정원] 햇살담은 국간장 500ml,"4,150",0,0
"양념,오일",74,[오뚜기] 빵가루 500g,"3,680",0,0
"양념,오일",75,[대상] 발효미원 100g,"2,980",0,0
"양념,오일",76,[래딕스글로비즈] 헬로 레몬 주스 200ml,"2,180",0,0
"양념,오일",77,[청정원] 멸치액젓 750g,"3,600",0,0
"양념,오일",78,[청정원] 파스타소스 600g(로제),"4,980",0,0
"양념,오일",79,[노브랜드] 하얀설탕 2kg,"3,780",0,0
"양념,오일",80,[노브랜드] 굴소스 490g,"3,280",0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
