카테고리,번호,상품명,가격,X,Y
"우유,유제품",1,[피코크] 에이 클래스 우유 900ml (1A등급)(매일유업),"2,432",0,0
"우유,유제품",2,[서울우유] 서울우유 1000ml 나100%,"2,970",0,0
"우유,유제품",3,[피코크] 에이 클래스 우유 2.3L (1A등급)(남양유업),"6,120",0,0
"우유,유제품",4,[피코크] 에이클래스 시그니처 그릭요거트 450g,"4,340",0,0
"우유,유제품",5,[피코크] 에이클래스 체다 치즈 210g (30gX7),"3,945",0,0
"우유,유제품",6,[남양] 맛있는 우유 GT 900ml×2,"5,180",0,0
"우유,유제품",7,[피코크] 자연치즈를 99% 담은 모짜렐라 슈레드치즈 300g(피자치즈),"4,788",0,0
"우유,유제품",8,[피코크] 더 클래스 우유 900ml (1등급)(남양유업),"2,344",0,0
"우유,유제품",9,[서울우유] 더 진한 순수 플레인 요거트 1.8L,"7,480",0,0
"우유,유제품",10,[매일유업] [매일] 소화가 잘되는 우유 930ml,"3,680",0,0
"우유,유제품",11,[노브랜드] 1A 우유 900mL,"2,260",0,0
"우유,유제품",12,[매일유업] [매일] 우유 오리지널 후레쉬팩 900ML*2,"5,720",0,0
"우유,유제품",13,[한국야쿠르트] 윌 오리지날 150mlX5개,"8,000",0,0
"우유,유제품",14,[피코크] 에이클래스 고칼슘치즈 210g (30gX7),"3,945",0,0
"우유,유제품",15,[서울우유] 후레쉬 밀크 기획(900ml*2) 1800ml,"5,480",0,0
"우유,유제품",16,[매일유업] [매일] 바이오 설탕무첨가 플레인 450g,"3,670",0,0
"우유,유제품",17,[피코크] 에이 클래스 그릭요거트 450g,"3,984",0,0
"우유,유제품",18,[매일유업] [매일] 소화가 잘되는 저지방 우유 930ml,"3,680",0,0
"우유,유제품",19,[피코크] 에이 클래스 저지방요거트 900g,"4,696",0,0
"우유,유제품",20,[서울우유] 서울우유 1.8L,"5,970",0,0
"우유,유제품",21,[한국야쿠르트] 야쿠르트 라이트(65ml*20입),"4,400",0,0
"우유,유제품",22,[피코크] 에이클래스 드링킹 요거트 진한플레인 750ml (무가당),"3,568",0,0
"우유,유제품",23,[빙그레] [요플레] 클래식 플레인 (85g4개),"3,780",0,0
"우유,유제품",24,[서울우유] 저지방 우유 1000ml,"3,280",0,0
"우유,유제품",25,[매일유업] 매일 그릭요거트 무가당 플레인 400g*2,"8,880",0,0
"우유,유제품",26,[서울우유] 커피포리 200ml* 4입,"4,260",0,0
"우유,유제품",27,[빙그레] 요플레 10개입 기획 85g*10 (맛은 랜덤배송/점별 재고에 따라 한가지 맛 입고 가능),"6,680",0,0
"우유,유제품",28,[남양] 자연의 시작 불가리스 사과(150ml8개입) 1200ml,"8,880",0,0
"우유,유제품",29,[남양] 맛있는우유GT 멸균 200ml*24,"14,980",0,0
"우유,유제품",30,[동원] 비피더스 명장 기획(125ml*12/점포별 구성 상이함) 1500ml,"4,980",0,0
"우유,유제품",31,[파스퇴르] 후레쉬 우유 2입(900ml*2),"7,580",0,0
"우유,유제품",32,[피코크] 에이 클래스 플레인요거트 900g,"4,696",0,0
"우유,유제품",33,[남양] 요구르트(65ml*20개) 1300ml,"3,090",0,0
"우유,유제품",34,[서울우유] 프레시 버터 80g*3입,"6,600",0,0
"우유,유제품",35,[남양] 드빈치 자연방목치즈30입 기획,"9,980",0,0
"우유,유제품",36,[피코크] 소금을 넣지 않은 쿠킹버터 450g,"7,504",0,0
"우유,유제품",37,[노브랜드] 딸기 담은 요구르트 750ml,"2,580",0,0
"우유,유제품",38,[매일유업] 매일 오리지널 900ml,"2,960",0,0
