카테고리,번호,상품명,가격,X,Y
"정육,계란류",1,"[노브랜드] [냉동] 삼겹살 바로구이 (1,000g)","12,980",0,0
"정육,계란류",2,[노브랜드] [냉동] 차돌박이 바로구이 (600g),"18,880",0,0
"정육,계란류",3,"[하림] 무항생제 닭 (볶음탕용) (1,000g)","9,980",0,0
"정육,계란류",4,[더리미티드][냉동] 국내산 삼겹살 바로구이 (800g),"14,980",0,0
"정육,계란류",5,[노브랜드] [냉동/캐나다] 돈목심 바로구이 (1kg),"10,980",0,0
"정육,계란류",6,[노브랜드] 그릴 닭가슴살 140g,"2,380",0,0
"정육,계란류",7,"[피코크] 1+등급 더 노란 통통란 15개입 (특란, 900g)","7,480",0,0
"정육,계란류",8,[더리미티드][냉동] 한우 국거리 (600g),"17,800",0,0
"정육,계란류",9,[사조대림] 대림 닭가슴살스테이크오리지널 100g,"2,980",0,0
"정육,계란류",10,[사조대림] [대림]사조안심 닭가슴살 마일드 100g,"2,980",0,0
"정육,계란류",11,[CJ제일제당] CJ 더건강한 닭가슴살 직화 통살구이 100g,"4,480",0,0
"정육,계란류",12,[피코크] 삼원가든 LA 꽃갈비 600g,"19,980",0,0
"정육,계란류",13,[노브랜드] 참나무 훈제 닭다리 170g,"3,380",0,0
"정육,계란류",14,[피코크] 갈릭 닭가슴살 120g,"3,480",0,0
"정육,계란류",15,[하림] 닭가슴살 블랙페퍼 100g,"3,980",0,0
"정육,계란류",16,[피코크] 탄두리 닭가슴살120g,"3,480",0,0
"정육,계란류",17,[하림] 닭가슴살 후랑크 600g,"8,380",0,0
"정육,계란류",18,"[신선한 계란 30개입 (특란, 1800g)] 신선한 계란 30개입 (특란, 1800g)","8,480",0,0
"정육,계란류",19,[피코크] 블랙페퍼 닭가슴살120g,"3,480",0,0
"정육,계란류",20,[사조대림] [대림]사조안심 닭가슴살 훈제 100g,"2,980",0,0
"정육,계란류",21,[캐나다 삼겹살 구이용 (100g)] 캐나다 삼겹살 구이용 (100g),"1,680",0,0
"정육,계란류",22,[CJ제일제당] CJ 더건강한 닭가슴살 직화 스테이크 100g,"4,480",0,0
"정육,계란류",23,[피코크] 훈제 닭가슴살 120g,"3,480",0,0
"정육,계란류",24,[피코크] 오리지널 닭가슴살120g,"3,480",0,0
"정육,계란류",25,[국내산 삼겹살 구이용 (100g)] 국내산 삼겹살 구이용 (100g),"2,750",0,0
"정육,계란류",26,[백색란 30개입 대란_조인] 백색란 30개입 대란_조인,"8,380",0,0
"정육,계란류",27,[피코크] 스모크 닭다리 170g,"3,480",0,0
"정육,계란류",28,"[의성축산] 난이생생 계란 15개입 (왕란, 1020g)","6,980",0,0
"정육,계란류",29,[CJ제일제당] CJ 더건강한 닭가슴살 소시지 120g,"4,480",0,0
"정육,계란류",30,[캐나다 돈목심 구이용 (100g)] 캐나다 돈목심 구이용 (100g),"1,680",0,0
"정육,계란류",31,[국내산 앞다리 불고기용 (100g)] 국내산 앞다리 불고기용 (100g),"1,264",0,0
"정육,계란류",32,[파머스픽] 1등급란 15개입 특란,"6,880",0,0
"정육,계란류",33,[하림] 무항생제 두마리 영계 1kg (500g*2),"9,980",0,0
"정육,계란류",34,[자연주의] 허니 로스팅 소스 훈제오리 200gx2,"8,980",0,0
"정육,계란류",35,[국내산 등심 카레용 (100g) (팩)] 국내산 등심 카레용 (100g) (팩),"1,680",0,0
"정육,계란류",36,"[자연주의] 동물복지 유정란 15개입 (특란, 900g)","8,280",0,0
"정육,계란류",37,[국내산 두툼 칼집 삼겹살 (100g)] 국내산 두툼 칼집 삼겹살 (100g),"2,950",0,0
"정육,계란류",38,[국내산 목심 구이용 (100g)] 국내산 목심 구이용 (100g),"2,750",0,0
"정육,계란류",39,[오늘반찬은 신선한란 30구 대란] 오늘반찬은 신선한란 30구 대란,"8,490",0,0
"정육,계란류",40,[국내산 앞다리 수육용 (100g)] 국내산 앞다리 수육용 (100g),"1,264",0,0
"정육,계란류",41,[알찬란 30개입/대란] 알찬란 30개입/대란,"8,180",0,0
"정육,계란류",42,[한우 앞다리 다짐육 1등급 (100g) (팩)] 한우 앞다리 다짐육 1등급 (100g) (팩),"5,880",0,0
"정육,계란류",43,"[풀무원] 신선가득 계란 15개입 (대란, 780g)","7,980",0,0
"정육,계란류",44,"[풀무원] 동물복지 유정란 15개입 (대란, 780g)","8,980",0,0
"정육,계란류",45,[양념 소불고기 (800g)] 양념 소불고기 (800g),"16,980",0,0
"정육,계란류",46,[국내산 목심 찌개용 (100g)] 국내산 목심 찌개용 (100g),"2,750",0,0
"정육,계란류",47,"[[냉동][스페인산] 뼈없는 대패 삼겹살 (1,000g)] [냉동][스페인산] 뼈없는 대패 삼겹살 (1,000g)","13,580",0,0
"정육,계란류",48,[하림] 무항생제 닭다리살 (정육) (400g),"8,280",0,0
"정육,계란류",49,[목우촌] BIG 허브닭가슴살 600g,"10,800",0,0
"정육,계란류",50,"[마니커] [냉동] 무항생제 닭가슴살 (1,000g)","9,380",0,0
"정육,계란류",51,[국내산 등심 잡채용 (100g) (팩)] 국내산 등심 잡채용 (100g) (팩),"1,680",0,0
"정육,계란류",52,[국내산 삼겹살 수육용 (100g)] 국내산 삼겹살 수육용 (100g),"2,750",0,0
"정육,계란류",53,[호주 곡물 먹인 부채 구이용 (100g) (팩)] 호주 곡물 먹인 부채 구이용 (100g) (팩),"3,180",0,0
"정육,계란류",54,[국내산 뒷다리 다짐육 (100g) (팩)] 국내산 뒷다리 다짐육 (100g) (팩),864,0,0
"정육,계란류",55,[국내산 삼겹살 찌개용 (100g)] 국내산 삼겹살 찌개용 (100g),"2,750",0,0
"정육,계란류",56,[파머스픽] 1등급란 30개입 특란,"9,480",0,0
"정육,계란류",57,[국내산 갈비 찜용 (100g)] 국내산 갈비 찜용 (100g),"1,264",0,0
"정육,계란류",58,[하림] 춘천식 닭갈비 (순한맛) (500g),"8,980",0,0
"정육,계란류",59,[하림] 춘천식 닭갈비 (매운맛) (500g),"8,980",0,0
"정육,계란류",60,[깐메추리알 500g] 깐메추리알 500g,"6,980",0,0
