카테고리,번호,상품명,가격,X,Y
채소,1,[풀무원] 고소한 유기농 부침두부 290g,"3,280",0,0
채소,2,[풀무원] 고소한 유기농 찌개두부 290g,"3,280",0,0
채소,3,[소소한하루 깐마늘80g] 소소한하루 깐마늘80g,990,0,0
채소,4,[풀무원] 특등급 국산콩 무농약 콩나물 340g,"2,600",0,0
채소,5,[미니로메인] 미니로메인,"4,380",0,0
채소,6,[CJ제일제당] CJ 행복한콩 몽글몽글 순두부기획 350g*2,"2,180",0,0
채소,7,[풀무원] 특등급 국산콩 투컵 두부 600g,"5,480",0,0
채소,8,[청정원] 콩이가득두부찌개용 300g,"1,480",0,0
채소,9,[풀무원] 무농약 국산숙주 240g+20g,"2,600",0,0
채소,10,[풀무원] 국산 콩 순두부 (350g),"2,000",0,0
채소,11,[풀무원 소가 고소하고 탱글한 순두부 350g] 풀무원 소가 고소하고 탱글한 순두부 350g,"2,480",0,0
채소,12,[맑은물에] 요리하기 편리한 하얀숙주 500g,"1,880",0,0
채소,13,[풀무원] 네컵 연두부 360g,"2,800",0,0
채소,14,[CJ제일제당] CJ 아삭통통숙주 380g,"1,880",0,0
채소,15,[CJ제일제당] [더리미티드]CJ 행복한콩 큰두부 500g*2,"3,580",0,0
채소,16,[프레스코 샐러드 330g] 프레스코 샐러드 330g,"4,980",0,0
채소,17,[풀무원 소가크고단단한두부 500g] 풀무원 소가크고단단한두부 500g,"2,500",0,0
채소,18,[피코크] 제주콩 두부 300gx2개입,"4,980",0,0
채소,19,[맑은물에] 국산촌두부 550G,"3,880",0,0
채소,20,[신세계푸드] 원데이샐러드 210g,"4,380",0,0
채소,21,[CJ제일제당] CJ양념이 잘 배는 찌개두부300g,"1,580",0,0
채소,22,[피코크] 파주 장단콩 순두부 350g,"1,980",0,0
채소,23,[CJ제일제당] CJ 행복한콩 안심아삭 콩나물 380g,"1,880",0,0
채소,24,[풀무원] 소가 아삭함이 오래가는 통통숙주 260g,"1,600",0,0
채소,25,[풀무원] 옛두부 300g*2,"4,680",0,0
채소,26,[풀무원] 아삭숙주 350g,"1,900",0,0
채소,27,[풀무원] 유기농미니순두부200g,"1,180",0,0
채소,28,[그린팜] 크런치 샐러드 350g,"4,980",0,0
채소,29,[청정원] 고소한 손두부300g,"2,480",0,0
채소,30,[청정원] 국산콩 순두부350g,"1,980",0,0
채소,31,[국산의힘 라온파프리카(300g/봉)] 국산의힘 라온파프리카(300g/봉),"5,980",0,0
채소,32,[풀무원] 야채쏙 두부봉 180g,"2,280",0,0
채소,33,[피코크] 제주콩 두부 160g,"2,180",0,0
채소,34,[풀무원] 국산 콩 연두부 (250g),"1,950",0,0
채소,35,[공심채(모닝글로리) 150g 봉] 공심채(모닝글로리) 150g 봉,"3,980",0,0
채소,36,[풀무원] 한끼연두부 2입(236g),"2,780",0,0
채소,37,[풀무원] [풀무원 Pulmuone] 국산 콩 찌개용 투컵 두부 320g,"4,550",0,0
채소,38,[피코크] 초당순두부 280g,"2,980",0,0
채소,39,[(A)양파(1.8kg/망)] (A)양파(1.8kg/망),"3,984",0,0
채소,40,[풀무원] 뽀로로키즈연두부90g,"1,480",0,0
채소,41,[CJ제일제당] CJ 행복한 콩 국산콩 두부 찌개용 180g,"2,480",0,0
채소,42,[애호박(개)] 애호박(개),"1,280",0,0
채소,43,[리코타 발사믹 샐러드 226g] 리코타 발사믹 샐러드 226g,"4,980",0,0
채소,44,[닭가슴살 오리엔탈 샐러드 209g] 닭가슴살 오리엔탈 샐러드 209g,"4,980",0,0
채소,45,[청정원] 국산콩 두부두모 600g(300gx2),"5,280",0,0
채소,46,[CJ제일제당] CJ노릇하게 잘 구워지는 부침두부 300g,"1,680",0,0
채소,47,[치킨 시저 샐러드 210g] 치킨 시저 샐러드 210g,"4,980",0,0
채소,48,[베트남산 매운맛불고추(봉)] 베트남산 매운맛불고추(봉),"3,980",0,0
채소,49,[종가집] 간수로만든몽글순두부 500g,"3,880",0,0
채소,50,[풀무원] 느리게만든 한모 340g,"4,980",0,0
채소,51,[푸주 163g] 푸주 163g,"3,480",0,0
채소,52,[풀무원] 한끼 두부 3입 330g (부침2+찌개1),"4,500",0,0
채소,53,[(A)무] (A)무,"1,000",0,0
채소,54,[CJ제일제당] CJ 행복한 콩 국산콩 두부 부침용 180g,"2,480",0,0
채소,55,[흙당근(1kg/봉)] 흙당근(1kg/봉),"6,480",0,0
채소,56,[파머스픽] 팽이버섯(3입/봉),"1,480",0,0
채소,57,[영천영농] 대동 부추 (300g/봉),"3,980",0,0
채소,58,[E-MART FRESH] 하루채소 깻잎,990,0,0
채소,59,[파머스픽] A)파머스픽 흙대파(봉),"3,584",0,0
채소,60,[풀무원] 해물쏙 두부봉 180g,"2,380",0,0
채소,61,[(A) 감자 (1kg/봉)] (A) 감자 (1kg/봉),"3,480",0,0
채소,62,[자연주의] 국산 무농약콩 강릉초당두부 340g,"4,980",0,0
채소,63,[풀무원] Silky 두유면 잔치국수 374.4g,"7,980",0,0
채소,64,[풀무원] 치즈쏙 두부봉 180g,"2,380",0,0
채소,65,[청양고추(봉)] 청양고추(봉),"1,984",0,0
채소,66,[CJ제일제당] [CJ] 행복한 콩 모닝 두부 140g,"1,680",0,0
채소,67,[E-MART FRESH] 영덕시금치(단),"3,280",0,0
채소,68,[FRESH FOOD] 파머스픽 새송이 (600g/팩),"4,380",0,0
채소,69,[풀무원] Silky 두유면 비빔국수 423g,"7,980",0,0
채소,70,[양송이(팩)] 양송이(팩),"4,280",0,0
채소,71,[알배기] 알배기,"3,880",0,0
채소,72,[파머스픽] 청경채 300g,"2,180",0,0
채소,73,"[파프리카(M,3입/봉)] 파프리카(M,3입/봉)","4,980",0,0
채소,74,[피코크] 유기농 찌개두부 300g,"1,980",0,0
채소,75,[(A) 한입감자 (1kg/봉)] (A) 한입감자 (1kg/봉),"1,980",0,0
채소,76,[세척당근(봉)] 세척당근(봉),"6,980",0,0
채소,77,[적상추(양촌)] 적상추(양촌),"2,480",0,0
채소,78,[풀무원] 한끼몽글 맑은순두부 269g,"4,180",0,0
채소,79,[풀무원] SOGA 부드러운 찌개 두부 (300g),"1,600",0,0
채소,80,[자연주의] 친환경 감자 800g/봉,"4,980",0,0
