카테고리,번호,상품명,가격,X,Y
"친환경,유기농",1,[자연주의] 저탄소인증 시나노골드사과 4~7입/봉 (1.3kg),"14,500",0,0
"친환경,유기농",2,[피코크] 유기농 클렌즈 콤부차 뷰티 (석류) 315ml,"2,520",0,0
"친환경,유기농",3,[피코크] 유기농 인증 요거트 400g,"3,272",0,0
"친환경,유기농",4,[노브랜드] 국내산 현미로 만든 스틱 미숫가루 600g,"9,980",0,0
"친환경,유기농",5,[샘표] 순작 유기농 옥수수수염차 120g (1.5gx80티백),"8,280",0,0
"친환경,유기농",6,[피코크] 유기농 국내산 보리차 20T,"5,480",0,0
"친환경,유기농",7,[자연주의] 친환경 여주쌀 4kg,"35,800",0,0
"친환경,유기농",8,[자연주의] 제주레몬차 610g,"7,480",0,0
"친환경,유기농",9,[자연주의] 유기농 참기름 320ml,"16,980",0,0
"친환경,유기농",10,[자연주의] 꿀 유자차 1kg,"12,980",0,0
"친환경,유기농",11,[테일러푸룬] 테일러 말린 무화과 190g,"7,280",0,0
"친환경,유기농",12,[자연주의] 친환경 당근 한뿌리 180g,"2,980",0,0
"친환경,유기농",13,[자연주의] 유기농 가바쌀밥 6입 (210g*6),"15,980",0,0
"친환경,유기농",14,[dole] [페루산] Dole 유기농 바나나 1묶음 (1.1kg 내외),"5,980",0,0
"친환경,유기농",15,[자연주의] 무농약 여주쌀 4kg,"33,800",0,0
"친환경,유기농",16,[웰팜] [냉동] 유기농 블루베리 700g,"11,980",0,0
"친환경,유기농",17,[유기농산] 유기농 쌀로 만든 양파 떡튀밥 30g,"2,580",0,0
"친환경,유기농",18,[자연주의] 유기농 푸룬주스 946ml,"9,980",0,0
"친환경,유기농",19,[자연주의] 친환경 추부깻잎&적상추 80g,"2,980",0,0
"친환경,유기농",20,[상하목장] 유기농우유 900ml,"4,380",0,0
"친환경,유기농",21,[매일유업] [매일] 맘마밀 요미요미 유기농 쌀과자 노랑(7개월부터) 25g,"4,180",0,0
"친환경,유기농",22,[2번사육]무항생제 동물복지 유정란 30입,"11,900",0,0
"친환경,유기농",23,"[자연주의] 산야초 먹인 동물복지 유정란 15개입 (대란, 780g내외)","6,480",0,0
"친환경,유기농",24,[푸릇] 친환경 느타리버섯 200g,"1,320",0,0
"친환경,유기농",25,[유기농산] 유기농 쌀로만든 단호박 떡튀밥 30g,"2,580",0,0
"친환경,유기농",26,[상하목장] 유기농 베이비 요구르트 플레인 340g (85g*4),"4,080",0,0
"친환경,유기농",27,[유기농 매실 엑기스 660g] 유기농 매실 엑기스 660g,"23,900",0,0
"친환경,유기농",28,[자연주의] 꿀자몽차 610g,"7,480",0,0
"친환경,유기농",29,[냉장] 설성 무항생제 한돈 벌집 삼겹살 400g,"12,480",0,0
"친환경,유기농",30,[자연주의] 친환경 방울토마토 600g/팩,"8,380",0,0
"친환경,유기농",31,[유기농산] 유기농 쌀로만든 사과 떡튀밥 30g,"2,580",0,0
"친환경,유기농",32,[냉장] 설성 무항생제 한돈 목살구이용 400g,"11,700",0,0
"친환경,유기농",33,[상하목장] 유기농 우유 750ml,"5,380",0,0
"친환경,유기농",34,[상하목장] 유기농 저지방우유 900ml,"4,380",0,0
"친환경,유기농",35,[자연주의] 저탄소인증 배 3~4입/봉 (2kg내외),"12,320",0,0
"친환경,유기농",36,[국산유기농발아현미차] 국산유기농발아현미차,"6,280",0,0
"친환경,유기농",37,[자연주의] 꿀 한라봉차 1Kg,"13,980",0,0
"친환경,유기농",38,[친환경 대추방울토마토 600g/팩] 친환경 대추방울토마토 600g/팩,"8,580",0,0
"친환경,유기농",39,[1번사육]동물복지 자유방목 무항생제 신선유정란 햇달걀 20입,"9,800",0,0
"친환경,유기농",40,[상하목장] 유기농 베이비 요구르트 딸기&바나나 340g (85g*4),"4,480",0,0
"친환경,유기농",41,[롯데칠성] 오가닉 사과&당근 500ml (125ml*4),"3,680",0,0
"친환경,유기농",42,[SSG푸드마켓] [매일] 상하 유기농 아기치즈 180g,"6,880",0,0
"친환경,유기농",43,[푸릇] 친환경 팽이버섯 150g,792,0,0
"친환경,유기농",44,[자연주의] 무농약 찰보리쌀 3kg,"9,980",0,0
"친환경,유기농",45,[웰팜] [냉동] 유기농 아보카도 400g,"9,800",0,0
"친환경,유기농",46,[푸릇] 친환경 감자 600g,"4,680",0,0
"친환경,유기농",47,[SSG푸드마켓] [매일] 상하 유기농 첫치즈 180g,"6,880",0,0
"친환경,유기농",48,[푸릇] 친환경 양파 1kg,"6,980",0,0
"친환경,유기농",49,[상하목장] 유기농 멸균우유 1200ml (200ml*6),"8,580",0,0
"친환경,유기농",50,[스미후루] [페루산] 순 유기농 바나나 2입/봉 (110g내외),"1,280",0,0
