카테고리,번호,상품명,가격,X,Y
"커피,원두,차",1,[매일유업] [매일] 바리스타룰스 로-슈거 에스프레소 라떼 250ml,"2,250",0,0
"커피,원두,차",2,[맥심] 모카골드 마일드 커피믹스 250입(쓱배송),"32,780",0,0
"커피,원두,차",3,[매일유업] [매일] 바리스타룰스 에스프레소 라떼 250ml,"2,250",0,0
"커피,원두,차",4,[동서] 동서 보리차(10g티백*30개입) 300g,"2,180",0,0
"커피,원두,차",5,[맥심] [맥심/바로배송] 카누 마일드 로스트 아메리카노 미니 150입,"29,980",0,0
"커피,원두,차",6,[맥심] 화이트골드 커피믹스 250입(쓱배송),"32,780",0,0
"커피,원두,차",7,[노브랜드] 콜롬비아 아메리카노 블랙2.1L,"3,480",0,0
"커피,원두,차",8,[매일유업] [매일] 바리스타룰스 모카프레소 250ml,"2,250",0,0
"커피,원두,차",9,[매일유업] [매일] 마이 카페라떼 220ml*6입 기획,"7,380",0,0
"커피,원두,차",10,[맥심] 카누 마일드 로스트 아메리카노 미니 100입,"22,400",0,0
"커피,원두,차",11,[조지아 크래프트 디카페인 블랙 470ml] 조지아 크래프트 디카페인 블랙 470ml,"2,680",0,0
"커피,원두,차",12,[맥심] 모카골드 마일드 커피믹스 (12g*20입),"3,880",0,0
"커피,원두,차",13,[동서] 한잔용 보리차 75g,"3,510",0,0
"커피,원두,차",14,[서울우유] 스페셜티 카페라떼 마일드 250ml,"2,050",0,0
"커피,원두,차",15,[조지아 크래프트 아메리카노 470ML] 조지아 크래프트 아메리카노 470ML,"2,780",0,0
"커피,원두,차",16,[동서] [제티] 초코렛맛 스틱 (17g20입),"3,490",0,0
"커피,원두,차",17,[조지아 크래프트 카페라떼 470ml] 조지아 크래프트 카페라떼 470ml,"2,780",0,0
"커피,원두,차",18,[맥심] 모카골드 마일드 커피믹스 (12g*100입),"16,480",0,0
"커피,원두,차",19,[동서식품] [미떼] 핫초코 오리지날 300g (30g*10입),"5,200",0,0
"커피,원두,차",20,[할리스 카페라떼 300ml] 할리스 카페라떼 300ml,"2,700",0,0
"커피,원두,차",21,[피코크] 갈아만든 유자차 420g,"5,380",0,0
"커피,원두,차",22,[칸타타] 콘트라베이스 블랙 500ml,"2,580",0,0
"커피,원두,차",23,[맥심] 카누 디카페인 미니 아메리카노 30입,"7,600",0,0
"커피,원두,차",24,[서울우유] [스타벅스] 카페 라떼 200ml,"2,050",0,0
"커피,원두,차",25,[칸타타] 원두커피 프리미엄 라떼 (175ml*6캔),"5,980",0,0
"커피,원두,차",26,[맥심] 슈프림골드 커피믹스 150입+20입,"29,600",0,0
"커피,원두,차",27,[매일유업] [매일]바리스타룰스 카라멜 딥 프레소 250ml,"2,250",0,0
"커피,원두,차",28,[피코크] 브라질 세라도 엔와이투 1kg (홀빈),"19,800",0,0
